Dr. Karol Padberg, Gyarados, walrus
Thalia Rippin, Bulbasaur, duck
Maranda Grant, Ekans, serval
Sterling Gulgowski, Tentacool, sea lion
Emilio King, Weezing, oyster
Jasper Halvorson, Shellder, crab
Geoffrey Lehner, Jigglypuff, camel
Kendal Beatty III, Dragonair, mouse
Roseline Beier, Hypno, alligator
Apolonia Kris, Nidoking, raven
Arnulfo Haag, Tauros, rat
Ms. Shondra Rodriguez, Lickitung, chimpanzee
Francene Nikolaus, Kakuna, rhinoceros
Shyla Reichert, Muk, ant
Ms. Hanh Block, Snorlax, armadillo
Brittney Bernhard MD, Ivysaur, hyena
Ambrose Streich, Slowbro, giraffe
Claudie Jacobs, Mewtwo, crocodile
Kraig Ortiz, Kabuto, manatee
Kenton Bednar I, Mankey, mink
Alfredo Brakus, Rapidash, baboon
Gabrielle Cummings, Scyther, yellowjacket
Alysia Carter, Zubat, moose
Stanley Kertzmann, Snorlax, crocodile
Hosea Kovacek, Wigglytuff, toad
Lawrence Runolfsdottir, Machamp, mink
Ms. Mitch Christiansen, Sandshrew, mule
Zane Nikolaus Sr., Clefable, deer
Sharee Hoeger, Pikachu, reindeer
Doyle Toy, Grimer, panda
Jackie Crooks, Nidoqueen, spider
Lexie Olson, Vulpix, frog
Lon Bins, Jolteon, toad
Kyoko Grant, Venonat, hyena
Carlos Becker, Pikachu, gnu
Ms. Leda Kuvalis, Sandshrew, raven
Bradly Bergstrom, Tentacool, kangaroo
Damion Wyman, Ekans, wallaby
Jordon Heathcote, Golem, leopard
Leeann Dicki, Butterfree, weasel
Holli Tromp, Mr. Mime, herring
Miss Ethan Crist, Machop, wallaby
Benton Vandervort, Hitmonlee, platypus
Mr. Darrell Hane, Gloom, snail
Gene Sanford V, Growlithe, termite
Huey Monahan, Doduo, mosquito
Elmer Miller, Gengar, cricket
Fredia Bernier, Mankey, deer
Ted Mohr, Vaporeon, hippopotamus
Bryce Wyman I, Mankey, monkey
