Kym Wisoky, Dragonair, mole
Son Rohan, Seel, platypus
Miss Minerva Lynch, Flareon, wasp
Dr. Marcelo Stamm, Geodude, sheep
Kurt Schumm MD, Flareon, giraffe
Hugo Hintz, Hitmonlee, yellowjacket
Mr. Lien Jones, Dratini, beetle
Shaunna McDermott V, Geodude, hare
Saul Will, Kabutops, macaw
Tori Carter, Pidgeot, squirrel
Scott Abbott, Weezing, impala
Francis Grimes, Arbok, cockroach
Genesis Feeney, Omastar, hamster
Shelby Wunsch, Golduck, raven
Richie Streich II, Venomoth, deer
Raleigh Nolan, Onix, frog
Wallace Bradtke PhD, Tentacool, horse
Stanford Williamson PhD, Magneton, monkey
Jonie Cremin, Nidorino, mole
Sueann Kemmer, Poliwhirl, wombat
Clair Schuppe, Kabuto, fly
Ivana Considine MD, Farfetch'd, goat
Mrs. Dedra Harvey, Omanyte, crab
Lorenzo Oberbrunner, Golbat, scorpion
Dimple Hettinger, Hypno, louse
Ludie Runte, Flareon, elk
Ines Hintz, Starmie, mosquito
Odis West, Seaking, cricket
Etha Dare, Gengar, weasel
Kiana Zieme, Gloom, wallaby
Ms. Lovetta Kulas, Grimer, beetle
Ulrike Wyman, Slowpoke, bee
Treasa McKenzie, Drowzee, hare
Edie Corkery, Farfetch'd, sardine
Ela White, Kabutops, otter
Sindy Wisozk, Aerodactyl, gnu
Blake Jacobson, Metapod, elk
Jay Mann, Nidorino, mallard
Miss Ola Waters, Sandslash, frog
Horace Hirthe, Machop, jackal
Erica Klocko, Raichu, frog
Katharyn Nicolas, Magnemite, gnat
Vaughn Williamson Sr., Primeape, squirrel
Lauren Mitchell, Gloom, deer
Fairy McDermott, Arcanine, panda
Fabian Considine, Snorlax, swan
Guillermo Upton, Kabuto, locust
Lowell Bins, Poliwrath, mouse
Mrs. Reynaldo Pacocha, Tangela, armadillo
Malik Smitham, Gengar, badger
