Omer Fritsch MD, Ponyta, leopard
Assunta Stokes, Nidoran, tiger
Ulysses Glover Jr., Dugtrio, snake
Jules Daniel, Goldeen, monkey
Josef Price V, Weezing, serval
Mrs. Toney Cummings, Poliwrath, porcupine
Norine Pfeffer DVM, Jigglypuff, water buffalo
Zane Kovacek, Lickitung, otter
Kara Erdman I, Meowth, termite
Joshua Hoppe, Seel, salmon
Anisha Haag DDS, Dewgong, clam
Ms. Lyle Heller, Ditto, cat
Cheryll Borer Sr., Cubone, lizard
Ressie Bernhard MD, Omanyte, mole
Leonard Schumm, Muk, weasel
Jerome Mertz, Charmeleon, mammoth
Hector Greenholt, Tauros, dolphin
Dani Kuphal, Paras, squirrel
Morton Ferry, Muk, goldfish
Lillia Wilkinson, Golduck, ant
Miss Carline Lubowitz, Mankey, panda
Frederick Collier Jr., Jolteon, crow
Mauricio Nienow, Mewtwo, mink
Tanisha Ritchie, Rapidash, seal
Mrs. Melida Strosin, Flareon, elephant
Miss Katherina Schaden, Muk, bat
Chad Borer, Ditto, armadillo
Olive Turner, Articuno, mallard
Shela Farrell, Nidorino, reindeer
Glory Keeling, Sandshrew, squirrel
Jamel Fahey, Poliwhirl, platypus
Megan Will, Magikarp, hedgehog
Ahmad Koch, Venusaur, hippopotamus
Darby Wyman III, Vulpix, armadillo
Cole Lebsack, Seadra, bee
Shirley Schowalter PhD, Cloyster, squirrel
Miss Tyrone Koss, Ekans, wallaby
Chung Veum, Zapdos, rat
Ingeborg Batz, Magnemite, porpoise
Cole Schroeder, Dewgong, kangaroo
Miss Duane Carter, Ponyta, mammoth
Paulene Schmitt, Dugtrio, eel
Kory Dickens, Parasect, gnat
Jeremy Orn, Kingler, otter
Melany Leannon MD, Vulpix, raven
Yan Kshlerin, Dragonair, wallaby
Etta Crona, Graveler, baboon
Miss See Reilly, Fearow, dog
Forrest Reynolds, Golem, mammoth
Duncan Schneider, Dodrio, beaver
