Mr. Chong Konopelski, Sandslash, mole
Shery Prosacco, Dugtrio, zebra
Dr. Elma Konopelski, Porygon, monkey
Anderson Cummings Sr., Koffing, squirrel
Eula Smitham, Articuno, salmon
Gaylene McClure, Persian, platypus
Dr. Len Kozey, Cloyster, platypus
Miss Rolf Ward, Electabuzz, leopard
Malcom Sauer, Raticate, muskrat
Elvis Von, Butterfree, cicada
Mrs. Royce Becker, Slowpoke, cricket
Tequila Dietrich, Wigglytuff, horse
John Tremblay, Slowbro, snake
Ms. Londa Nienow, Shellder, bear
Dr. Nerissa Boyer, Bellsprout, herring
Bert Murazik, Tangela, camel
Mr. Natalia Steuber, Kangaskhan, crow
Charlena Bogisich, Caterpie, herring
Scottie Goodwin, Squirtle, bear
Roscoe Yost, Dragonair, hare
Danial Swaniawski, Nidorina, clam
Myles Goldner IV, Jigglypuff, bear
Colton Graham, Poliwag, raccoon
Dr. Brent Fadel, Krabby, elk
Treena Kirlin Jr., Oddish, llama
Tara Hintz, Kakuna, gorilla
Ms. Valentin Stracke, Poliwhirl, moose
Dr. William Pfannerstill, Gloom, mouse
Lupe Bruen, Nidoking, crow
Cheryl Haley V, Exeggutor, wildebeest
Claretta Bashirian, Primeape, spider
Bert Gleason, Pikachu, hamster
Claude Rogahn, Ivysaur, weasel
Isiah Watsica, Zapdos, zebra
Tom Greenfelder, Zapdos, termite
Ervin Cassin, Shellder, serval
Jed Huel, Lapras, sea lion
Hillary Thompson I, Kadabra, goldfish
Damion Kunde II, Golbat, deer
Ms. Corey Jacobi, Kabuto, toad
Lisbeth Kemmer, Kingler, jackal
Chet Nitzsche, Nidorina, gnu
Shanell Ullrich, Dragonair, serval
Hubert Rippin, Wartortle, woodchuck
Burl Yundt, Vileplume, grasshopper
Breanne Hudson, Magnemite, prairie dog
Elaina Hermann, Ditto, bee
Fatima Ankunding, Charmander, grasshopper
Hilaria Pouros DVM, Magneton, rat
Eliseo Ullrich III, Persian, kangaroo
