Ms. Pia Krajcik, Charmeleon, manatee
Ricardo Auer I, Fearow, monkey
Ezequiel Harris, Tentacool, cricket
Timothy Jacobs, Pikachu, dolphin
Leonia White, Drowzee, sardine
Dr. Nieves Haag, Slowbro, ape
Melissa Toy, Geodude, hedgehog
Mrs. Ettie Johns, Squirtle, spider
Margarito Prosacco I, Hypno, bear
Ms. Dorthey Grant, Ninetales, koala
Orval Reinger DDS, Vulpix, cod
Desmond Dickens, Growlithe, koala
Ms. Faviola Gerhold, Dragonair, jackal
Jen Barrows, Nidoking, camel
Sherryl Johns, Machoke, toad
Gary Wisozk, Marowak, tiger
Miss Roseanne Stanton, Slowpoke, skunk
Meridith Altenwerth DVM, Lapras, otter
Luella Kuhic, Kabutops, goldfish
Dr. Sau Schmeler, Nidoran, buffalo
Dr. Jae Lang, Kadabra, bear
Kate Hane, Snorlax, sheep
Dorsey Trantow, Nidoran, kangaroo
Bobbye Pagac, Articuno, fly
Maxwell Reichert V, Venomoth, hare
Bill Roberts, Tentacruel, fly
Lala Turner, Dragonair, locust
Celesta Murray, Electrode, rabbit
Isaias Predovic, Raichu, lizard
Benedict O'Reilly, Goldeen, pug
Theodore Crist III, Hypno, koala
Nikole Wilderman PhD, Pidgeotto, clam
Elza Schiller, Exeggutor, hamster
Walter Swaniawski, Jolteon, alligator
Peter Schamberger, Machop, reindeer
Fredrick Legros, Drowzee, louse
Natashia Herzog, Seel, goldfish
Mr. Preston Bernier, Slowpoke, locust
Dr. Eveline Walker, Starmie, gorilla
Eldridge Bogisich, Golem, sea lion
Veta Aufderhar, Charizard, sea lion
Ms. Kathryne Thompson, Goldeen, fox
Ward Kovacek, Kabuto, woodchuck
Winston Runte, Mew, mallard
Mckinley Lindgren, Electrode, cockroach
Fredric Treutel, Nidoqueen, snake
Deena Mueller, Mew, mink
Easter Romaguera, Articuno, koala
Mrs. Malcolm Lehner, Machamp, rhinoceros
Mrs. Dee Mosciski, Tentacool, moose
