Shelby Dare, Golbat, crocodile
Reiko Stiedemann Jr., Graveler, macaw
Rickey Pacocha, Tauros, hippopotamus
Alisia Labadie DVM, Tentacruel, muskrat
Hayley Veum, Vulpix, oyster
Augustine Murazik, Lapras, panda
Brent Kerluke, Machop, dinosaur
Ms. Gwendolyn Kihn, Persian, baboon
Theodore Hackett Jr., Dewgong, cattle
Harmony Hayes, Mankey, serval
Lyndon Stoltenberg, Sandshrew, wasp
Katharyn Hackett, Bulbasaur, duck
Dr. Terry Orn, Doduo, crocodile
Christie Runolfsson MD, Rattata, guinea pig
Ilda Mante DDS, Slowbro, antelope
Sina Abbott, Sandshrew, reindeer
Mr. Hubert Carroll, Golbat, camel
Kieth Little, Flareon, wildebeest
Heath Ruecker, Machamp, hamster
Alexander Gottlieb, Dratini, swan
Jannette Kunze, Venusaur, panda
Damien Daugherty, Kabuto, marten
Jordan Dare, Dratini, manatee
Miss Alysa Lubowitz, Porygon, yak
Ned Runolfsdottir, Farfetch'd, fish
Chantelle Schumm, Magneton, raccoon
Carey Hermiston, Charmeleon, gerbil
Colton Wilderman, Nidoran, spider
Elroy Lesch IV, Blastoise, ant
Providencia Ratke, Nidoqueen, mosquito
Sharmaine Schmitt, Vaporeon, weasel
Stanton Toy, Venomoth, panda
Emery Kunde, Tangela, bee
Warren Lowe, Drowzee, hornet
Tracey Stoltenberg, Exeggcute, frog
Ali Douglas, Hitmonlee, lion
Colene Schinner, Snorlax, deer
Dr. Cary Hauck, Haunter, alligator
Ms. Kathrine Franecki, Machamp, yellowjacket
Brigitte Volkman, Growlithe, ape
Mr. Hertha Kulas, Mankey, oyster
Ian Dare PhD, Bulbasaur, mouse
Ms. Polly Mosciski, Seel, cockroach
Luciano McCullough, Onix, frog
Scottie Cronin, Mr. Mime, cheetah
Dr. Rodolfo Hirthe, Dratini, mammoth
Eldon Stehr, Gloom, beetle
Romeo Hilll, Jigglypuff, lizard
Lindsay Connelly, Butterfree, bee
Thaddeus Torp, Marowak, ferret
