Marry Sawayn, Kingler, serval
Daniel Stehr, Koffing, crow
Mr. Modesto Rippin, Eevee, prairie dog
Sang Welch, Voltorb, dinosaur
Tristan Lang, Cloyster, elk
Jerry Schaden, Lickitung, muskrat
Blake Shields, Nidoran, worm
Brendan Hammes, Seel, dolphin
Kelly Hauck, Poliwrath, rabbit
Ms. Dean Parisian, Caterpie, weasel
Sherman Koss, Machamp, hedgehog
Garfield Schoen, Articuno, bee
Mrs. Stephan Schiller, Venomoth, donkey
Kris Langworth, Nidoqueen, termite
Mrs. Val Hagenes, Raticate, yak
Miss Joey West, Squirtle, raven
Juan Schroeder, Tauros, baboon
Darrick Schmidt, Aerodactyl, porpoise
Lindsay Gorczany, Starmie, duck
Wallace Tremblay, Gyarados, donkey
Miss Graham Krajcik, Articuno, mink
Miss Delta Von, Tangela, toad
Normand Feil, Poliwag, platypus
Jerome Miller, Poliwag, cicada
Lawrence Kuhic, Pidgey, gnu
Allan Rosenbaum Jr., Psyduck, wombat
Ivory Hane, Kangaskhan, goose
Ceola Cruickshank, Magnemite, hippopotamus
Jarvis Gorczany, Machop, cattle
Maura Moen PhD, Butterfree, impala
Mr. Matthew Wilderman, Gloom, trout
Rebbeca Homenick, Magneton, impala
Ms. Matthew O'Keefe, Ditto, sheep
Raleigh Schroeder, Ekans, termite
Broderick Sauer, Poliwag, porpoise
Rudolph Kunde, Grimer, cicada
Warner Ebert, Hitmonchan, alligator
Mrs. Ariel Sauer, Chansey, armadillo
Kristal Abshire, Alakazam, pig
Jennifer Huels DDS, Mewtwo, kangaroo
Abel Stanton, Abra, trout
Pedro Erdman, Butterfree, pug
Raymundo Haag, Pikachu, badger
Jung Ebert, Nidoking, marten
Mrs. Hildred O'Reilly, Squirtle, shark
Irene Parisian, Bulbasaur, mule
Thomas Collier, Cloyster, hornet
Neville Batz, Dodrio, woodchuck
Minh Kassulke, Clefairy, leopard
Yasmin Torphy, Nidorina, locust
