Mrs. Hunter Koch, Ninetales, leopard
Fleta Smitham, Venomoth, reindeer
Kristofer Shanahan, Haunter, spider
King Price Jr., Dewgong, ox
Oren Haley, Tentacool, frog
Ms. Ida Homenick, Snorlax, beetle
Alonso Mayer, Ponyta, wildebeest
Mrs. Hunter Marks, Horsea, ferret
Dorsey Morissette, Pidgeotto, chinchilla
Detra Sanford, Magnemite, giraffe
Ms. Willie Dickens, Gloom, jellyfish
Elisha Ernser, Porygon, marten
Sanjuanita Howell, Tentacool, koala
Otis Kunde, Cubone, beetle
Elida Hessel, Mr. Mime, hare
Harris Monahan, Gloom, sea lion
Daryl Senger, Lickitung, sardine
Temika Homenick, Clefairy, porpoise
Jacques Daniel, Golem, tiger
Garret Howe, Paras, wolf
Dalton Renner, Sandslash, mosquito
Benita Carter, Magnemite, serval
Elisa Bayer, Ninetales, frog
Mr. Tianna Conn, Tentacruel, elk
Kimberlie Graham, Graveler, lizard
Mose Stroman, Clefable, seal
Lizabeth Oberbrunner, Exeggcute, cat
Hayden Roberts, Poliwrath, beaver
Mr. Frances Kunze, Weedle, gorilla
Miss Gregg Huels, Cloyster, wombat
Harris Pfeffer, Slowbro, crow
Lavone Fritsch, Rattata, clam
Ellsworth Kirlin, Gyarados, hornet
Vernice Herzog, Diglett, lion
Warren Daniel, Goldeen, wallaby
Narcisa Schaden, Jolteon, hare
Marylynn Schinner, Raichu, snake
Ramiro Schaefer, Ninetales, kangaroo
Miss Fannie Halvorson, Diglett, panda
Joanne Thompson, Snorlax, dolphin
Elizabeth Schaden, Abra, ant
Rubin Bins, Lickitung, platypus
Dania Lemke, Nidoran, chinchilla
Angelo Hamill, Farfetch'd, pig
Sal Johnston, Gloom, dog
Xavier Hintz, Poliwhirl, rhinoceros
Antonia Bruen V, Pinsir, cattle
Dr. Bryan Durgan, Slowpoke, mammoth
Mr. Sidney Kiehn, Weedle, kangaroo
Conrad Botsford, Muk, dolphin
