Penny Berge, Sandslash, marten
Duane Hackett, Rattata, llama
Mrs. Leonore Beatty, Oddish, fox
Felton Rohan V, Pikachu, leopard
Jeromy O'Connell, Machamp, prairie dog
Cletus Hoppe, Cubone, goldfish
Florence Stark PhD, Persian, minnow
Miss Florentino Orn, Persian, bee
Jacalyn Hintz, Sandshrew, hornet
April Satterfield DVM, Weezing, wolf
Phylicia Gottlieb, Caterpie, monkey
Ms. Lydia Walter, Diglett, hound
Huey Ratke PhD, Rapidash, jackal
Dong Greenfelder, Clefable, mammoth
Latarsha West, Krabby, dolphin
Celestina Fisher, Krabby, alpaca
Kaila Pagac, Arbok, herring
Keri Reinger, Pinsir, mallard
Ozzie Herzog, Weepinbell, crow
Frank Prosacco, Rhydon, ant
Miesha Price, Ninetales, buffalo
Indira Carter, Poliwrath, gorilla
Osvaldo Pacocha, Seel, koala
Shanell Fahey, Abra, muskrat
Mr. Dewayne Lindgren, Victreebel, hound
Newton Schiller, Machoke, louse
Phil Skiles, Slowbro, sardine
Vincenzo Gleichner DVM, Nidorina, spider
Nolan Conn Jr., Caterpie, llama
Roseann Maggio, Dodrio, raccoon
Eugenio Schaden, Growlithe, crocodile
Basil O'Connell, Horsea, prairie dog
Dr. Hannelore Kuhic, Voltorb, whale
Ms. Carola Bergstrom, Flareon, chinchilla
Joey Bogisich, Dewgong, eel
Michael Rodriguez, Rhyhorn, porcupine
Bob Rohan, Ekans, cat
Catherin Cormier, Wigglytuff, hedgehog
Mrs. Ulysses Hettinger, Pidgey, goat
Marisol Dooley, Nidoking, hyena
Lorean Ratke, Gloom, rhinoceros
Georgeanna Pouros, Jigglypuff, mule
Israel Hartmann Sr., Machop, raven
Darrell Huels III, Poliwag, dolphin
Luis Mueller, Rhydon, goose
Miss Evelina Koelpin, Weezing, fish
Jessie Doyle, Cloyster, mammoth
Rex Feeney, Magnemite, ox
Gayle Thiel, Omastar, grasshopper
Mr. Scot Wehner, Scyther, raven
