Brent Paucek, Lickitung, platypus
Tracee Becker, Slowbro, shark
Jenice Ullrich DDS, Exeggcute, worm
Miss Freddie Hamill, Vaporeon, manatee
Erwin Stehr, Vileplume, cheetah
Trista Thompson, Exeggutor, koala
Mrs. Eleanora Fritsch, Kadabra, goat
Blaine Dicki, Alakazam, oyster
Dr. Harlan Blanda, Golduck, cat
Elton Gulgowski, Raichu, gnu
Silas DuBuque, Blastoise, cockroach
Tomeka Kunze, Charmeleon, cat
Helena Bartoletti II, Hitmonchan, impala
Ellamae Ondricka, Muk, hedgehog
Odell Terry DVM, Diglett, armadillo
Williams Kunde, Beedrill, yak
Leo Prosacco, Eevee, giraffe
Ms. Elba Hills, Dratini, mallard
Russell Emmerich MD, Magikarp, porcupine
Oliver Harris, Dragonair, armadillo
Ernie Schuppe, Magmar, tortoise
Carolyn Raynor, Cloyster, goat
Milton Baumbach, Bulbasaur, bee
Chang Marvin, Weedle, kangaroo
Devon Collins, Kabutops, gorilla
Edward Wintheiser, Jolteon, cricket
Mel Trantow MD, Horsea, goose
Donya Tremblay, Starmie, locust
Vivien Kuhic Jr., Pikachu, turtle 
Ms. Philip Kuhlman, Abra, donkey
Cameron Kuhic, Hypno, buffalo
Johnnie Stracke, Charmeleon, mosquito
Sheilah Douglas, Vulpix, salmon
Barbera Paucek, Hitmonchan, dolphin
Brian MacGyver, Vileplume, eagle
Stephani Hauck, Hypno, cod
Mr. Nelida Marvin, Venusaur, ape
Zackary Grant, Zapdos, hare
Thi Bogisich, Abra, dinosaur
Mervin Frami Sr., Poliwrath, wasp
Sommer Breitenberg, Porygon, hound
Stefany Bins, Venomoth, gorilla
Crystle McKenzie, Slowbro, deer
Troy Rolfson, Jigglypuff, goldfish
Oliva Renner MD, Jigglypuff, cricket
Daniel Bergnaum, Zubat, louse
Cheryl Skiles, Arbok, shark
Orval Maggio, Growlithe, hippopotamus
Olga Kohler, Electabuzz, antelope
Refugio Von, Alakazam, walrus
