Dr. Phylicia Jerde, Charmander, cockroach
Norma McClure, Nidoqueen, fish
Rudolph Hegmann, Tangela, crocodile
Jaclyn Dibbert, Wigglytuff, mule
Margart Gorczany V, Nidorino, hedgehog
Desirae Beahan, Kakuna, fox
Cristobal Herzog, Haunter, cicada
Aurore Kuvalis, Vulpix, crocodile
Kip Raynor, Porygon, butterfly
Jeremiah Ullrich, Doduo, wombat
Heath Schumm, Aerodactyl, butterfly
Donovan Tremblay, Machop, elk
Miss Lorna Sporer, Charmander, alpaca
Bryon Nolan, Voltorb, monkey
Alva Goodwin, Zapdos, lion
Kevin Feest, Kangaskhan, mallard
Jerald Beatty DVM, Gastly, crab
Linh Kulas, Dragonite, fish
Darryl Pfannerstill IV, Clefable, chimpanzee
Ezequiel Krajcik MD, Pidgey, wasp
Lionel Hills MD, Kabutops, elephant
Michal Schulist, Paras, fish
Ellamae Labadie, Weedle, mink
Ms. Adam Heller, Slowbro, locust
Brook Connelly II, Electrode, mule
Archie Fadel II, Cloyster, hedgehog
Otto Ernser III, Abra, spider
Kelsi Bartell, Dratini, hedgehog
Keneth Baumbach, Lickitung, alligator
Lou Bode, Tentacool, eagle
Miss Ericka Gottlieb, Wartortle, zebra
Carmen Mann, Weezing, zebra
Shon Franecki, Clefairy, swan
Bettie Kautzer, Marowak, rhinoceros
Oliver Waters, Alakazam, guinea pig
Annett Emard, Lapras, ferret
Katy Rogahn, Kingler, swan
Mrs. Jamal Von, Metapod, antelope
Illa Bernier Sr., Staryu, marten
Kati Bartell, Eevee, wallaby
Mr. Glynis Weimann, Bulbasaur, reindeer
Tobias Schmitt, Meowth, mole
Portia Bins DDS, Gengar, goldfish
Danita Leffler, Geodude, seal
Darryl Stracke, Grimer, ant
Morton Schamberger, Starmie, termite
Rocco Gorczany PhD, Poliwrath, skunk
Kimiko Champlin, Ninetales, deer
Maurice Berge DVM, Cubone, trout
Frances Hoeger, Zapdos, skunk
