Annis Veum PhD, Jolteon, oyster
Tyisha Herman, Seel, serval
Maya Beahan, Bellsprout, crocodile
Lanny Swaniawski I, Meowth, snake
Mr. Hwa Larson, Charizard, grasshopper
Chester MacGyver, Venonat, tortoise
Lawanna Satterfield, Horsea, elk
Grady Schmidt, Hitmonlee, manatee
Kurtis Sipes, Nidorina, squirrel
Shirely Leannon PhD, Sandslash, hippopotamus
Reggie Klocko, Shellder, raccoon
Chance Treutel, Nidorino, gerbil
Augustina Hintz, Electabuzz, pig
Arlie Orn, Vaporeon, grasshopper
Lyda Farrell, Raichu, koala
Dr. Liliana Schiller, Golem, oyster
Ezra Langworth, Electabuzz, swan
Aide Deckow, Nidoking, leopard
Colette Quigley, Meowth, donkey
Duncan Sawayn, Electrode, skunk
Dr. Marnie Reynolds, Rattata, lion
Gilda Monahan, Koffing, moose
Kermit Reichel, Jolteon, turtle 
Angelyn Kuvalis, Electabuzz, mule
Concepcion Graham, Charmander, herring
Mr. Alesha Goldner, Zubat, raccoon
Grover Rippin, Alakazam, horse
Cherish Mayer, Caterpie, lion
Jamey Keeling, Mr. Mime, wasp
Theo McKenzie, Kangaskhan, goldfish
Louvenia Corkery, Wartortle, chinchilla
Felecia Okuneva, Sandslash, woodchuck
Mrs. Lucilla Green, Vaporeon, wallaby
Miss Sadie Treutel, Hitmonchan, ox
Lowell Lubowitz, Hitmonchan, chinchilla
Dominic Willms, Porygon, squirrel
Garry Flatley, Chansey, porpoise
Dr. Arnold Hane, Mewtwo, woodchuck
Phyllis Schmitt, Rhydon, shark
Lynn Beahan, Rhydon, termite
Willette Toy, Metapod, bear
Robin Brekke, Vileplume, fly
Boris Monahan II, Machoke, guinea pig
Emerson McKenzie, Tauros, badger
Miss Dillon Wilderman, Tangela, seal
Nigel Lakin, Pidgey, fish
Marquis Glover, Growlithe, chinchilla
Brittani Dietrich Jr., Nidoking, baboon
Anibal Bahringer, Magnemite, swan
Hobert Steuber, Dewgong, horse
