Melany Reichel, Hypno, wombat
Miss Robt Bashirian, Dodrio, lion
Delena Price II, Pidgey, hedgehog
Rob Kohler, Primeape, mouse
Etha Collier, Oddish, shark
Steve Bruen, Farfetch'd, yellowjacket
Frida Hermiston, Gengar, fish
Melva Heathcote III, Rattata, bee
Manual Lynch, Nidoking, louse
Jasper MacGyver, Starmie, hyena
Ms. Robin Rogahn, Charizard, dolphin
Ms. Quincy Bradtke, Muk, alligator
Miss Jarrett Jenkins, Machop, elk
Genia Moore, Venonat, goat
Tommye Jacobs, Machop, bear
Hugo Heller, Primeape, snake
Marshall Halvorson, Nidorino, gerbil
Carina Rosenbaum DDS, Onix, weasel
Mrs. Mariela Krajcik, Arcanine, bat
Mckenzie Reilly, Krabby, cattle
Vincenzo Klein II, Ivysaur, bat
Carmelo Dach, Haunter, scorpion
Ellamae Fahey, Nidoqueen, hornet
Miss Rebecca Lang, Slowbro, squirrel
Francisco Prohaska, Electabuzz, hornet
Rudolph Rowe, Nidoqueen, hyena
Mrs. Gail Douglas, Onix, gorilla
Numbers Mills, Butterfree, spider
Norberto Larkin, Magneton, buffalo
Santos Brakus MD, Snorlax, rat
Quentin Bahringer IV, Seadra, goldfish
April Hyatt DVM, Farfetch'd, chinchilla
Bo Hammes, Electabuzz, llama
Hoa Marvin II, Golem, snail
Ervin Durgan, Pidgeotto, hedgehog
Tyler Cremin I, Haunter, beaver
Doug Carroll, Oddish, hippopotamus
Mr. Nada Kuhic, Gloom, butterfly
Pam Osinski, Magikarp, caribou
Thurman Murazik, Kangaskhan, grasshopper
Jarod Kirlin, Poliwag, mouse
Dr. Cecil Ritchie, Dodrio, goldfish
Bruce Hilll, Nidoking, locust
Brooke Harvey, Staryu, coyote
Rosemary Dare, Raichu, armadillo
Royal Altenwerth, Poliwag, serval
Sherill Kessler IV, Snorlax, donkey
Wallace Littel DDS, Rhydon, mink
Ms. Virgil O'Conner, Nidorino, water buffalo
Melina Kuhic, Venomoth, cattle
