Ms. Romelia Goyette, Alakazam, donkey
Marceline Murray, Rhyhorn, koala
Elenora Mraz, Sandshrew, wombat
Jarrett Padberg, Poliwrath, scorpion
Mrs. Rueben Conroy, Dodrio, crab
Nathaniel Schmidt II, Jigglypuff, llama
Misha Hoeger, Psyduck, hound
Debora Ledner, Drowzee, mammoth
Richie Weissnat, Eevee, woodchuck
Miss Valeria Daniel, Ekans, dolphin
Martha Harber, Exeggcute, hare
Moises Crist, Vulpix, beetle
Keenan O'Hara, Weedle, oyster
Soila Schinner Sr., Muk, wallaby
Dr. Barabara Goldner, Butterfree, termite
Mrs. Anton Conn, Parasect, elk
Beau Pagac, Rhydon, mammoth
Sidney Jaskolski, Aerodactyl, crow
Candi Purdy, Seel, coyote
Ms. Louanne Pacocha, Ponyta, ant
Miss Sunshine Wunsch, Articuno, deer
Marisa Wisoky, Hypno, dog
Otha Dietrich, Kabuto, moose
Olimpia McDermott, Tentacruel, cattle
Miss Ada Willms, Rattata, macaw
Olimpia Cassin V, Paras, wombat
Sharee Erdman, Dugtrio, termite
Trey Howe, Hitmonchan, sheep
Ulysses Murphy, Hypno, wasp
Karole Dibbert, Shellder, tortoise
Mary Konopelski, Weedle, ox
Neely Leannon, Jynx, jackal
Hope Hickle, Haunter, elephant
Miss Miles Berge, Raichu, goat
Ivory West V, Hitmonlee, louse
Chrystal O'Kon, Fearow, caribou
Vernon Beatty, Gyarados, fox
Ewa Brekke, Doduo, zebra
Antonina Stehr, Snorlax, cod
Charmaine Marquardt, Blastoise, gnat
Janell Beahan, Bulbasaur, frog
Sterling Schumm, Nidoqueen, ape
Johnnie Waelchi IV, Pidgey, bear
Marica Rowe, Mew, crocodile
Merle Dickinson PhD, Moltres, hamster
Jeremy Price, Nidoran, pig
Ms. Bret Bradtke, Lapras, pig
Lincoln Krajcik, Ninetales, snail
Juana Walter, Vaporeon, fox
Daria Kertzmann, Zubat, bat
