Peter Maggio, Poliwhirl, chinchilla
Mia Grady, Raichu, tortoise
Mr. Charley Grady, Wigglytuff, jellyfish
Julio Skiles, Cloyster, eel
Frank Stamm, Kakuna, elephant
Sharee Brakus, Weezing, jellyfish
Michel Berge, Dewgong, beetle
Bridgett Wilderman, Moltres, tiger
Tyron Douglas, Geodude, mink
Joaquin Murphy, Nidoran, caribou
Mr. Detra Reichert, Jigglypuff, tiger
Parker Conn, Squirtle, donkey
Clay Little, Articuno, cricket
Dr. Victoria Rogahn, Beedrill, gorilla
Armando Pollich, Magneton, sea lion
Sidney Fay, Flareon, louse
Domingo Klein, Raichu, bee
Theodore Murphy DDS, Doduo, raven
Darius Spinka Sr., Pidgey, giraffe
Sherwood Stamm, Dratini, serval
Emile Huels, Kadabra, ape
Mrs. Brook Osinski, Wartortle, trout
Reed Vandervort, Dewgong, hyena
Timmy Purdy PhD, Golbat, crow
Dr. Reid Bins, Weezing, wolf
Bobby Gislason, Beedrill, whale
Ahmed Balistreri, Mr. Mime, cockroach
Porter Tromp, Venusaur, mink
Raymundo Bogisich, Aerodactyl, toad
Shakira O'Kon MD, Jynx, toad
Willy Streich, Arbok, gerbil
Mrs. Ferne Morissette, Fearow, goose
Dyan Kihn, Seadra, hare
Cristopher Blick DVM, Bulbasaur, beetle
Miss Sung Langworth, Butterfree, termite
Alan Kiehn, Rhyhorn, mammoth
Stephan Windler PhD, Raticate, wildebeest
Nereida Howe, Charmander, coyote
Alita Waters, Electabuzz, skunk
Adell Stehr DDS, Oddish, clam
Dr. Magda Jacobson, Primeape, butterfly
Mrs. Guy Purdy, Ditto, scorpion
Beaulah Ryan, Electrode, dog
Adalberto O'Kon II, Geodude, snake
Mrs. Arlie Upton, Clefairy, tiger
Shani Schuppe DVM, Zubat, panda
Sidney Mueller PhD, Kadabra, coyote
Neva Hilll IV, Sandslash, giraffe
Carroll Kunde, Mew, bear
Carlton Howe, Horsea, minnow
