Brett Kohler, Meowth, bear
Valda Volkman, Ninetales, hamster
Mrs. Alicia Harris, Pikachu, monkey
Miss Wendi Schumm, Pidgeot, zebra
Alejandra Wuckert, Caterpie, termite
Clarita Leuschke, Omanyte, leopard
Gustavo Conroy, Sandslash, leopard
Mrs. Dominga Powlowski, Charmander, ox
Mrs. Edward Sporer, Cubone, raccoon
Erik Konopelski, Kingler, camel
Monica Bernhard IV, Omanyte, tiger
Inger Wolf, Sandshrew, wolf
Annelle Metz, Meowth, frog
Ivy Kuhic, Rattata, walrus
Ms. Mavis Gutkowski, Ekans, llama
Toya Kozey, Gastly, wallaby
Anisha Kuhlman, Grimer, giraffe
Hiroko Orn, Graveler, mink
Jeanelle Ankunding, Vileplume, mammoth
Hugh Walter, Starmie, snail
Elden Boyer MD, Kingler, pig
Meagan Von DDS, Exeggutor, cod
Winston Homenick, Beedrill, grasshopper
Tamra McDermott, Clefairy, sheep
Sigrid Boyer, Raticate, rabbit
Mrs. Carter Conroy, Growlithe, worm
Silvia Schroeder, Nidoking, porpoise
Mr. Christoper Buckridge, Golem, serval
Sophie Crist, Seaking, kangaroo
Vicki Schroeder, Graveler, ape
Ms. Earline Hammes, Dewgong, whale
Mrs. Odelia Quitzon, Eevee, rat
Bruna Bahringer, Tauros, cockroach
Mrs. Rubin Batz, Tentacool, minnow
Mrs. Delmar Hammes, Slowbro, cricket
Russel Harris, Jolteon, ant
Cyrus Barton, Kakuna, grasshopper
Emil Russel IV, Bellsprout, llama
Mr. Tyson Ruecker, Magmar, hyena
Zenobia Friesen, Kabuto, moose
Stan Koss, Moltres, hound
Mr. Hallie Kulas, Eevee, dog
Carmelo Romaguera, Arbok, monkey
Paul Ullrich, Horsea, raccoon
Benny Romaguera Sr., Krabby, cicada
Elba Kassulke, Magneton, manatee
Kaylee Simonis, Weezing, lizard
Clement Kiehn III, Venomoth, giraffe
Dr. Dane Muller, Sandslash, prairie dog
Jeffrey Heidenreich, Koffing, panda
