Hayden Zulauf V, Raticate, bear
Oralia Kautzer Sr., Electrode, coyote
Morton Padberg, Rhydon, bee
Noreen Schimmel, Vileplume, porpoise
Blythe Wisozk, Tauros, minnow
Irving Smith, Golduck, crow
Lulu Connelly, Venomoth, raven
Jenny Nikolaus, Graveler, dinosaur
Prince Emmerich III, Graveler, elk
Miss Tierra Harris, Flareon, bat
Mrs. Casey Cremin, Exeggcute, salmon
Mrs. Morgan Predovic, Rapidash, alligator
Sang Bins, Tentacool, zebra
Rogelio O'Kon, Kakuna, wildebeest
Jack Barrows MD, Primeape, porcupine
China Pfeffer Sr., Nidoran, beetle
Miss Johnsie Shanahan, Ditto, dolphin
Elton Harber, Butterfree, hound
Dominic Champlin, Golbat, locust
Summer Wisoky, Vaporeon, bee
Lurline Friesen, Mewtwo, salmon
Rudy Reynolds, Shellder, cricket
Miss Forrest Hettinger, Seel, locust
Dulce Flatley II, Seadra, crocodile
Stephen Douglas Jr., Mewtwo, seal
Keven Kiehn, Flareon, herring
Yevette Keeling DDS, Cloyster, pug
Gretchen Welch, Pidgeot, locust
Colby Glover IV, Venomoth, gorilla
Russell Keeling DDS, Flareon, woodchuck
Lesa Bruen, Caterpie, beaver
Derick Schmeler, Flareon, crocodile
Concepcion Denesik, Persian, cat
Jasper Champlin, Diglett, chinchilla
Bryant Okuneva, Cubone, wombat
Leslie Hintz, Doduo, weasel
Arlette Mayert Jr., Venusaur, antelope
Emmie Lindgren, Hitmonchan, gnat
Vincent Brakus, Bellsprout, goat
Garfield Russel V, Staryu, squirrel
Ms. Melonie Larkin, Seel, minnow
Rocco Treutel, Dodrio, bat
Mireille Berge, Gengar, hare
Donovan Witting, Dragonite, cheetah
Stephen O'Keefe MD, Flareon, frog
Mrs. Rona Reichert, Eevee, skunk
Dr. Odell Willms, Sandshrew, deer
Nola Prohaska, Mr. Mime, guinea pig
Madelaine Ernser, Abra, alpaca
Brant Hettinger, Snorlax, muskrat
