Eloise Kris DDS, Alakazam, swan
Mallie Farrell, Horsea, cheetah
Ardis Predovic, Venonat, spider
Voncile Kessler, Pikachu, goose
Elvin Gerlach, Seaking, macaw
Dr. Jarrett Mueller, Muk, turtle 
Ada Lesch, Seadra, bat
Daniela Vandervort Sr., Marowak, yak
Ricardo Witting, Vileplume, trout
Johnette Kohler MD, Goldeen, cheetah
Ms. Elizabet Prohaska, Clefairy, bee
Cary Johnston I, Pikachu, rat
Elmo Kerluke, Fearow, crow
Scott Howe, Doduo, prairie dog
Jake Blanda Jr., Gloom, crow
Weston Turner, Weezing, dolphin
Sharri Wilkinson, Graveler, hippopotamus
Mr. Glen Deckow, Golduck, armadillo
Mr. Janis Hilpert, Doduo, water buffalo
Betsy Jaskolski, Kabuto, muskrat
Dr. Adan Erdman, Meowth, dolphin
Lino Fritsch, Primeape, alpaca
Casimira Schumm, Voltorb, yellowjacket
Alvera Beatty IV, Mankey, dog
Mrs. Eloy Konopelski, Squirtle, chimpanzee
Vicente Ziemann, Bulbasaur, dog
Ethyl Mertz, Wartortle, whale
Barrett Weimann V, Butterfree, muskrat
Mr. Reyna Bins, Onix, impala
Chang Dare, Charmander, sea lion
Vernon Moen, Bellsprout, hare
Clement Kunze, Scyther, dolphin
Sam Lind II, Dodrio, wombat
Ms. Retta Towne, Alakazam, wolf
Cyndy Heidenreich, Venomoth, jackal
Bradley Schultz, Gengar, coyote
Miss Lonnie Schaden, Dragonair, zebra
Toby West V, Wartortle, manatee
Donn Treutel, Jolteon, alligator
Dyan Zboncak Jr., Tauros, turtle 
Thaddeus Jast, Magnemite, shark
Anton Quitzon, Gengar, trout
Miss Jessie Kuhlman, Voltorb, ant
Wes Daniel, Butterfree, dinosaur
Julianna Stanton IV, Poliwag, minnow
Cassondra Haley MD, Vileplume, goat
Lanny DuBuque DDS, Eevee, woodchuck
Mi Lueilwitz, Weezing, bear
Tayna Friesen, Rattata, badger
Johnnie Kuphal, Sandshrew, sea lion
