Dr. Larraine Flatley, Lapras, salmon
Nettie Stark PhD, Cubone, camel
Jeromy Emard, Weedle, frog
Delphine Rohan, Porygon, bat
Mrs. Santos Baumbach, Weepinbell, wombat
Dr. Laurence Pagac, Dratini, koala
Veronique Skiles Sr., Vileplume, raven
Marcel Pacocha, Beedrill, dolphin
Jarvis White, Doduo, snake
Romeo Tillman, Sandslash, dog
Florida Rohan, Gastly, wasp
Ms. David Hartmann, Omastar, koala
Lang Veum, Electrode, macaw
Linette Fahey, Seaking, crocodile
Corey Mraz, Pidgey, wasp
Pablo Prosacco, Haunter, louse
Jacquie Lowe PhD, Tauros, trout
Mrs. Irving Kertzmann, Moltres, baboon
Ms. Valentina Langworth, Machop, chinchilla
Laquita Wintheiser, Shellder, hippopotamus
Leslie Towne, Sandshrew, otter
Van Schumm IV, Golduck, gerbil
Elijah Koch, Haunter, mole
Patricia Wiegand, Rhyhorn, salmon
Clarita Fadel III, Bulbasaur, wildebeest
Niki Koch, Wartortle, gnat
Hiroko Moen, Sandslash, serval
Vita Schulist, Squirtle, porcupine
Lenore Leffler, Arbok, scorpion
Hassie Mayert, Lickitung, mosquito
Ms. Elliott Welch, Doduo, dolphin
Drusilla Jacobi, Kabuto, cattle
Harland Hammes, Chansey, marten
Leif Ferry, Kabutops, donkey
Ms. Ming Osinski, Wartortle, ox
Ozzie Cummerata, Victreebel, guinea pig
Jacinto Heaney, Doduo, donkey
Doug Denesik, Tentacruel, gerbil
Dr. Booker Smitham, Electabuzz, mosquito
Alverta Paucek, Poliwhirl, mammoth
Rosenda Graham IV, Charmander, manatee
Lionel Donnelly PhD, Nidoran, antelope
Ms. Gregory Daugherty, Graveler, bat
Kymberly O'Hara I, Charmander, coyote
Monika Terry, Venonat, swan
Dr. Lynelle Pagac, Pidgey, weasel
Brynn Will, Bellsprout, bat
Mckinley Pagac, Farfetch'd, fish
Fatimah Schmitt, Ditto, kangaroo
Shanae Wehner, Wigglytuff, leopard
