Lupe Bahringer, Aerodactyl, caribou
Loren Cruickshank, Kangaskhan, prairie dog
Patty Nicolas, Slowpoke, armadillo
Zachariah Bernier, Scyther, snake
Scott Adams II, Dragonite, kangaroo
Yong Gleason, Dodrio, badger
Ashli Effertz, Nidoqueen, baboon
Myra Mann, Weepinbell, goldfish
Elfrieda Erdman, Hypno, raccoon
Margarett Friesen DDS, Zapdos, frog
Jackie Considine I, Marowak, hippopotamus
Lance Halvorson, Hitmonchan, serval
Jeramy Berge, Nidorino, sardine
Maximo Hermiston, Charizard, deer
Manuel Wiegand, Victreebel, impala
Dwayne Baumbach PhD, Zubat, hamster
Lucas Kling, Ponyta, panda
Felipe Hayes, Tentacruel, snake
Miss Juli Pfannerstill, Shellder, cheetah
Lowell Hammes, Bulbasaur, mule
Adolph Anderson, Oddish, beaver
Temika Olson, Pikachu, dinosaur
Carmine Lebsack, Nidoqueen, grasshopper
Somer Huel, Vaporeon, ox
Thaddeus McClure, Rattata, rat
Linsey Stiedemann, Goldeen, camel
Bryanna Jast, Chansey, gnat
Joslyn Dietrich, Fearow, jackal
Chin Dickinson, Venomoth, hare
Felicitas Leannon, Kingler, chinchilla
Mrs. Leland McCullough, Poliwag, hippopotamus
Jenice Kutch, Koffing, eel
Julietta Grady V, Mew, walrus
Alanna Kunze, Tauros, panda
Milford Kemmer, Seaking, herring
Granville Hermiston, Machop, monkey
Hye Jacobs, Aerodactyl, yak
Carrol Franecki, Machamp, baboon
Camila Kuvalis, Jynx, platypus
Shalonda Fisher, Poliwag, elk
Williams Haag V, Graveler, porpoise
Juanita Crona, Pidgeotto, butterfly
Geri Altenwerth, Mew, lion
Roma Price DVM, Grimer, clam
Leo Harris, Voltorb, cattle
Toby Ankunding, Hitmonchan, termite
Jessie McClure, Dragonite, buffalo
Clyde Glover, Starmie, scorpion
Shiela Runolfsdottir, Ponyta, moose
Ellsworth Boyle, Articuno, tiger
