Mac McKenzie, Vileplume, cod
Lorene McClure, Dugtrio, hippopotamus
Michal Breitenberg, Marowak, elephant
Minh Towne, Ekans, squirrel
Timmy Rice, Rapidash, yak
Miss Lou Larkin, Seadra, hyena
Linwood Sauer, Exeggcute, hare
Rhona Herzog, Chansey, dinosaur
Mr. Rufus Lehner, Gloom, llama
Lesli Baumbach, Ekans, rhinoceros
Ivette Steuber II, Butterfree, skunk
Carmine Schmitt, Graveler, guinea pig
Kory Trantow II, Gastly, otter
Ulysses Herzog, Psyduck, seal
Darren Kovacek, Vulpix, cricket
Latanya Jakubowski, Oddish, moose
Mr. Duncan Goyette, Venomoth, porpoise
Miss Jennine Kozey, Golbat, chinchilla
Miss Claud Strosin, Arbok, rhinoceros
Jessie Wiza, Rapidash, ox
Danielle Miller IV, Marowak, crow
Mr. Tiffanie Green, Mankey, water buffalo
Mr. Kendall Ziemann, Nidoking, butterfly
Elfriede Rau, Rattata, cricket
Jake Reichel, Spearow, cockroach
Dania Hagenes, Pinsir, crow
Darrick Baumbach IV, Scyther, kangaroo
Booker Davis, Clefairy, yellowjacket
Sanjuana Bosco, Machoke, raven
Tona McClure, Ponyta, bee
Miss Faustino Torphy, Chansey, serval
Yee Collier, Mew, camel
Freeman Zboncak, Pikachu, ferret
Dylan Jacobs V, Dewgong, coyote
Lakeshia Rogahn, Nidorino, buffalo
Collene Crona PhD, Dewgong, pug
Trey Dickens, Arbok, raven
Mr. Oswaldo Luettgen, Vaporeon, manatee
Gisela Abshire, Pidgey, hound
Mac Schmeler, Marowak, chinchilla
Lynwood Denesik, Omanyte, wasp
Brigid Schumm, Staryu, moose
Verna Greenholt, Vulpix, crab
Mrs. Alpha Towne, Vaporeon, goat
Sherika Jerde, Magikarp, impala
Werner Kerluke Sr., Kakuna, caribou
Ms. Ervin Hammes, Moltres, raven
Yi Hauck, Abra, sea lion
Maxwell Tromp, Tangela, yellowjacket
Abdul Wehner, Ivysaur, coyote
