Krysten Smith V, Pinsir, impala
Lonnie Mertz, Ivysaur, cockroach
Wilfredo DuBuque PhD, Psyduck, grasshopper
Vito Stoltenberg, Voltorb, goat
Junie Mohr II, Marowak, oyster
Aubrey Smith, Ekans, gnat
Shelby Breitenberg, Fearow, porpoise
Ms. Earline Kassulke, Pikachu, caribou
Carmelo Zieme, Goldeen, tortoise
Saul Stanton, Zubat, camel
Lindy Beier PhD, Arcanine, hyena
Mrs. Liza Johns, Zapdos, cockroach
Tobias Stehr IV, Cloyster, ape
John Blanda, Tangela, camel
Julio Koepp, Victreebel, wallaby
Arline Thiel, Moltres, coyote
Fabian Gorczany, Rhyhorn, fish
Taylor Bins, Blastoise, wombat
Ms. Nisha Hackett, Horsea, porcupine
Kelsey Casper MD, Vaporeon, goat
Gretta Miller, Mew, rabbit
Dr. Tamatha Gerlach, Raticate, pig
Tawanda Connelly, Metapod, muskrat
Devona Bogan, Spearow, crow
Keenan Toy, Dragonair, mouse
Miss Trang Hackett, Magikarp, llama
Celine Fritsch I, Ekans, hippopotamus
Joan Lueilwitz, Jigglypuff, butterfly
Scot Beahan, Weedle, woodchuck
Erik Hegmann MD, Slowbro, butterfly
Sari Haley, Meowth, cicada
Elizbeth Frami, Squirtle, buffalo
Ms. Winston Corwin, Arbok, herring
Alfonzo Feil, Marowak, ferret
Keesha Legros, Muk, pug
Raeann Swift, Paras, fish
Aaron Stanton, Venonat, sea lion
Stacie Nienow DVM, Meowth, muskrat
Dr. Akilah Yundt, Wartortle, clam
Mr. Marietta Daniel, Magikarp, donkey
Vicente Jast, Bulbasaur, lion
Otelia Gutmann II, Starmie, bat
Reatha Ferry III, Pidgeotto, raccoon
Mr. Marin Douglas, Staryu, camel
Wava Terry, Exeggutor, coyote
Shanon Pfannerstill, Pidgeot, yellowjacket
Ms. Johnson Franecki, Cubone, weasel
Pearline O'Reilly, Rhyhorn, leopard
Rob Reinger, Tentacruel, crocodile
Cathey Mraz, Sandshrew, cheetah
