Alden Purdy, Nidorina, goat
Latoyia Beahan DVM, Graveler, ox
Brock Sawayn V, Metapod, jackal
Trevor Stracke, Staryu, armadillo
Sergio DuBuque, Gengar, wasp
Lida Mann, Venonat, tortoise
Roy Bednar, Sandshrew, lion
Yvone Parker, Grimer, butterfly
Minda Reilly, Spearow, ant
Alfonzo Sanford PhD, Seaking, llama
Dante Larson, Vulpix, donkey
Jesusa Gottlieb PhD, Wigglytuff, jackal
John Sauer, Butterfree, squirrel
Nathalie Hilll, Lickitung, seal
Leisa Hoeger, Magnemite, crow
Jonathon Mueller, Metapod, guinea pig
Lino Stiedemann, Mankey, giraffe
Dr. Titus Ankunding, Ditto, elk
Meg Monahan, Tangela, lizard
Roman Lemke DDS, Oddish, skunk
Tayna Rempel Jr., Lapras, baboon
Vern Cassin, Seaking, wallaby
Cindy Osinski, Sandshrew, scorpion
Mrs. Linsey Raynor, Omanyte, gorilla
Patricia Corkery, Weepinbell, cat
Barney Funk, Fearow, horse
Mr. Son Johnson, Rattata, elephant
Reed Williamson, Tentacruel, walrus
Wade Effertz, Arbok, tortoise
Norberto Cruickshank, Weedle, bat
Jarred Kertzmann, Muk, marten
Lowell Jones, Golduck, mink
Francisca Barton, Oddish, minnow
Miss Herschel Hammes, Geodude, porcupine
Loise Nolan, Golduck, cod
Fernando Wolff, Pinsir, ape
Anisha Crona, Starmie, marten
Vicente Hauck, Diglett, termite
Raylene Hansen MD, Seaking, elk
Shondra Mosciski, Lapras, gorilla
Sidney Schroeder, Ponyta, toad
Dr. Hellen Bartoletti, Kangaskhan, koala
Vivan Ruecker, Gengar, rabbit
Londa Cassin, Mewtwo, rhinoceros
Tomas Sporer, Dugtrio, reindeer
Collette Lakin, Metapod, fish
Myrna Collier, Starmie, badger
Mr. Keturah Ward, Nidorino, cod
Le Baumbach MD, Pidgey, weasel
Ms. Carmine Gutmann, Tangela, dinosaur
