Miss Dewayne Torphy, Rhydon, hare
Cody Bartell PhD, Koffing, raven
Dr. Antione Schaefer, Onix, fish
Lorraine Satterfield Sr., Magneton, wombat
Patience Baumbach V, Sandshrew, chinchilla
Lonny Kunze, Poliwag, toad
Miss Aubrey Roberts, Bellsprout, goat
Maile Buckridge, Cubone, otter
Kaitlyn Toy, Starmie, marten
Mrs. Wendie Rippin, Ditto, badger
Renna Wolff, Nidoking, gnat
Griselda Howe, Mew, shark
Elliot Ratke, Diglett, pig
Lanita Reilly, Hitmonlee, pig
Jeremy McKenzie, Charizard, cricket
Cassey Jacobi, Lickitung, herring
Danita Hoeger, Butterfree, wombat
Dick Bauch, Oddish, moose
Whitley Auer, Diglett, wolf
Leo Bauch IV, Haunter, mouse
Ms. Ezequiel Nikolaus, Poliwag, elephant
Creola Romaguera, Oddish, locust
Mr. Yael Schamberger, Golem, hyena
Manda Sipes, Drowzee, elk
Freda Rempel, Kingler, raccoon
Vanessa Adams, Wigglytuff, squirrel
Zachary Rau, Staryu, oyster
Tequila Ritchie, Omastar, porcupine
Dr. Rudy Renner, Tangela, otter
Mrs. Patience Robel, Machamp, whale
Mr. Wilford Stoltenberg, Exeggutor, ferret
Avery Feeney, Arcanine, squirrel
Marcelle Franecki, Machoke, clam
Humberto Heidenreich, Machop, snake
Oswaldo Gerhold, Clefable, crocodile
Vern Hayes, Venusaur, ape
Lavon Glover, Horsea, elk
Ellena Witting, Gloom, spider
Ammie Murray MD, Omastar, pug
Iesha Lesch, Lickitung, mammoth
Pilar Lueilwitz, Kangaskhan, chimpanzee
Shandra Hilpert, Victreebel, weasel
Kristopher Miller, Nidoran, goldfish
Carolann Skiles, Krabby, baboon
Earnestine Beier, Doduo, hornet
Arlen Cormier, Magikarp, hound
Phillip Gottlieb, Rapidash, tiger
Mrs. Amelia Pfeffer, Arbok, rhinoceros
Dr. Shanon Gerlach, Gengar, clam
Royce Baumbach, Kabutops, clam
