Robin Aufderhar, Clefable, porcupine
Dr. King Sporer, Pinsir, louse
Ms. Kattie Ward, Mew, trout
Erik Bednar, Wartortle, sheep
Mr. Jamaal Rohan, Vaporeon, seal
Latarsha Kovacek, Drowzee, reindeer
Un Swaniawski, Porygon, frog
Dixie Conn, Horsea, dog
Elias Cassin, Venusaur, butterfly
Roseann Cassin, Marowak, bat
Love Satterfield, Dodrio, clam
Bruna Windler MD, Weezing, cattle
Mrs. Tommie Hickle, Kakuna, goat
Miss Stevie Boyer, Hypno, yak
Miss Leda Upton, Horsea, coyote
Weldon Pouros, Shellder, cheetah
Van Parker, Dodrio, rabbit
Manie Rolfson Jr., Weepinbell, muskrat
Chadwick Corwin, Horsea, mule
Keren Champlin Jr., Clefable, pug
Valentin Schmidt, Slowpoke, horse
Scott Prosacco I, Rattata, fish
Ignacio Marquardt, Venonat, porpoise
Ms. Dessie Brakus, Dratini, bee
Micheal Barrows Sr., Voltorb, kangaroo
Larry Hirthe IV, Drowzee, mouse
Jeremiah O'Keefe, Hitmonchan, elephant
Lakeesha Bradtke, Arcanine, impala
Dewitt Thompson III, Sandslash, wallaby
Melonie Skiles, Nidorina, skunk
Dr. Kathey Moore, Zubat, wildebeest
Adalberto Dibbert V, Venusaur, rhinoceros
Asa Nader, Butterfree, eagle
Casey Rosenbaum, Wigglytuff, gerbil
Dorine Welch, Seadra, crab
Jordon Feeney, Dewgong, bat
Hilma Ondricka, Golbat, mammoth
Mrs. Margherita Smith, Goldeen, bat
Ms. Trina Kris, Staryu, donkey
Carmella Jakubowski DVM, Lapras, beetle
Vicenta Bailey, Scyther, goat
Dortha Aufderhar, Dragonair, porcupine
Benita Bradtke PhD, Grimer, scorpion
Jonah Barrows, Dragonite, grasshopper
Elina Mraz, Nidoking, hyena
Ardelle Schultz, Pidgeot, seal
Darnell Krajcik, Seadra, shark
Hal Fisher, Muk, baboon
Jason Hilpert, Magnemite, cheetah
Dr. Colby Wiza, Growlithe, cicada
