Larraine Heathcote, Golduck, dog
Angella Lindgren, Rapidash, hornet
Shirlene Wolff IV, Raichu, mosquito
Dr. Bo Marks, Drowzee, seal
Clemmie Mertz, Meowth, monkey
Loren Kohler, Snorlax, camel
Randall Green MD, Wartortle, yellowjacket
Ursula Swaniawski, Exeggutor, hippopotamus
Nadia Gottlieb, Magikarp, leopard
Ms. Janelle Blanda, Zapdos, yak
Ms. Lacie Ortiz, Dragonite, wasp
Neva Huels, Ivysaur, baboon
Marlana Adams, Paras, tiger
Louis Spencer, Rattata, locust
Marcell Murphy MD, Lickitung, horse
Ai Littel IV, Gyarados, mink
Ms. Blair D'Amore, Venomoth, hare
Zana Marks, Zapdos, herring
Shane Welch, Weezing, minnow
Dorothea Kuvalis Jr., Ponyta, chimpanzee
Miss Florrie Rolfson, Abra, walrus
Mrs. Lucien Schuster, Machamp, duck
Fidel Harvey, Chansey, otter
Lory Ward, Pidgey, bat
Merideth West, Mewtwo, wolf
Carrol Williamson, Sandshrew, wolf
Jamie Hirthe, Marowak, tortoise
Ms. Izetta Daugherty, Hitmonchan, gnat
Siu Pfeffer, Paras, gerbil
Marissa Heidenreich, Vileplume, kangaroo
Ms. Violet Hermann, Chansey, prairie dog
Antone Bahringer, Psyduck, jackal
Katharine Denesik IV, Blastoise, elk
Jon Hickle, Slowbro, cockroach
Cristobal Carroll, Kabutops, rabbit
Ignacia MacGyver DDS, Diglett, guinea pig
Eliseo Kutch, Slowpoke, cockroach
Darell Effertz, Horsea, butterfly
Kiara Murray, Goldeen, platypus
Patsy Buckridge, Omastar, mouse
Ms. Elisha Reynolds, Pidgeotto, goose
Jimmy Cole, Arbok, rabbit
Willie Friesen, Doduo, wolf
Roman Zboncak, Omanyte, herring
Mechelle Mosciski, Flareon, manatee
Eddie Gulgowski, Doduo, sheep
Michel Macejkovic, Muk, eagle
Royce Funk, Squirtle, raven
Nikia Hagenes, Kangaskhan, pug
Alison Howell, Vileplume, mallard
