Sherman Blanda, Jynx, water buffalo
Miss Sadie Johnson, Magnemite, hornet
Dalton Dooley, Porygon, bat
Josphine Hagenes, Ninetales, water buffalo
Dr. Debi Willms, Clefairy, rhinoceros
Gena Haley, Slowpoke, platypus
Isaiah Grant, Nidoking, gorilla
Jeannetta Kassulke Sr., Bellsprout, platypus
Deon Wolf, Nidoking, butterfly
Nubia Medhurst, Rhyhorn, fox
Hayden Smitham, Venonat, mammoth
Hoyt Cummerata, Psyduck, wasp
Kiana Schuppe, Gengar, minnow
Charles Witting III, Kingler, otter
Conception Braun III, Hitmonchan, dolphin
Rudolf Kihn, Paras, water buffalo
Ms. Harlan Leffler, Pidgey, water buffalo
Jamal Ledner V, Pidgeot, mouse
Sueann Hoeger, Omanyte, prairie dog
Lloyd Purdy DVM, Dugtrio, toad
Mrs. Leonardo Walsh, Golbat, caribou
Tamala Toy, Nidoking, wildebeest
Tomika Herman, Staryu, mammoth
Dr. Boyd Goldner, Nidoking, squirrel
Lang Miller Sr., Kingler, hornet
Garry Predovic, Venonat, elk
Eva Fadel, Venonat, chimpanzee
Ms. Antonio Beier, Rhyhorn, deer
Deeanna Upton II, Nidoran, wolf
Shaun Hudson, Kingler, locust
Ariane Terry, Charizard, woodchuck
Ezequiel Bashirian, Marowak, hyena
Shena Jerde, Arbok, weasel
Lee Smitham, Dewgong, rhinoceros
Pablo King III, Psyduck, frog
Tommie Pagac, Metapod, bat
Shenita Gutkowski III, Psyduck, lion
Marylin Boyle, Pidgeot, squirrel
Hermine Fahey, Koffing, gnu
Alfred Brakus V, Fearow, raven
Kim Stokes, Golduck, tortoise
Felisha Ziemann, Grimer, ferret
Shanta Yost PhD, Ekans, porcupine
Jeff Schiller, Dragonite, frog
Kristal Hintz, Blastoise, sea lion
Maurice Heaney, Farfetch'd, pug
Vernell Wunsch, Rhyhorn, sardine
Tyrell Schumm, Arbok, oyster
Erick Crooks, Jolteon, mallard
Altagracia Wyman DVM, Arcanine, turtle 
