Rashad Gerhold, Tentacruel, elk
Willis O'Keefe MD, Haunter, whale
Ozzie Gusikowski, Dugtrio, tiger
Deon Mraz PhD, Primeape, beaver
Mr. Ami Oberbrunner, Cubone, tiger
Vannessa Harris, Nidoran, mouse
Miss Cory Walter, Magmar, goat
Alden Jenkins, Shellder, panda
Garret Pacocha, Pidgeot, jackal
Sol Ledner Jr., Ivysaur, badger
Federico Koss Sr., Dragonite, mouse
Sonny Runolfsson, Venusaur, rat
Jeniffer Tremblay, Ninetales, worm
Benny Parisian, Arbok, cockroach
Marcel Bogan, Sandslash, snail
Libby Lynch, Spearow, crocodile
Woodrow Weber, Magnemite, camel
Alesia Bergnaum, Marowak, cat
Iesha Kilback, Spearow, snail
Osvaldo Deckow, Mewtwo, hedgehog
Mrs. Sena Farrell, Nidorina, cattle
Gladys Christiansen, Pidgeot, reindeer
Rebekah Labadie, Fearow, frog
Jerrica Flatley MD, Moltres, jackal
Jude Schumm, Gloom, locust
Willy Nitzsche, Magneton, manatee
Sudie Graham, Gyarados, yellowjacket
Helaine Lebsack, Machoke, swan
Chad Marquardt, Primeape, muskrat
Lamar Bednar, Charmeleon, gnu
Cira Franecki MD, Machop, walrus
Doloris Harvey, Voltorb, serval
Mitchel Douglas, Squirtle, cat
Mrs. Deetta Feeney, Arcanine, swan
Antionette Hodkiewicz, Nidorina, goldfish
Shelley Walsh, Goldeen, crow
Kayleigh Becker, Starmie, pug
Tuan Gleason, Electrode, alpaca
Miss Christoper Wilderman, Graveler, gorilla
Juliane Barton, Psyduck, raven
Vertie Rippin, Vaporeon, hedgehog
Yahaira Prosacco MD, Parasect, raccoon
Romeo Feeney MD, Dragonair, mule
Letisha Mitchell, Victreebel, trout
Ms. Eun Paucek, Vaporeon, panda
Riva Streich, Staryu, bear
Jerrod Jakubowski, Jynx, gorilla
Malia Wisoky, Machop, hornet
Jenifer Wintheiser, Vulpix, weasel
Rocco Johnson DDS, Jynx, dolphin
