Prince DuBuque MD, Alakazam, gorilla
Lee Kuhn, Gastly, mule
Miss Jarvis Dietrich, Dewgong, chinchilla
Tomiko Stiedemann, Ditto, otter
Mrs. Effie Lehner, Pikachu, mule
Mackenzie Stroman, Spearow, baboon
Nilda Gerlach, Slowbro, mule
Anton Ferry, Chansey, grasshopper
Samella Pollich, Chansey, lion
Wilford Stoltenberg, Charmeleon, coyote
Kimberley Hane, Dragonair, wallaby
Merideth Fadel, Golbat, hippopotamus
Vella Homenick IV, Nidoking, sea lion
Dayna Frami, Marowak, lizard
Carmina McDermott, Poliwag, swan
Terri Hilll, Bellsprout, alpaca
Tiara Kihn, Slowpoke, dolphin
Elvin Berge DDS, Pinsir, spider
Sonia Hahn, Kabutops, herring
Manual Kertzmann, Gastly, cheetah
Willetta Emmerich, Machoke, badger
Daron Balistreri, Graveler, water buffalo
Charley Rempel, Vaporeon, pug
Filiberto Hegmann, Slowbro, ox
Jennifer Torphy DVM, Pidgeotto, crab
Brittny Reichert, Seadra, porcupine
Kerry Ward PhD, Marowak, ferret
Mrs. Milton Block, Wigglytuff, cattle
Hilda Reilly, Venonat, hound
Arielle Wiza, Rapidash, whale
Keven Grimes, Omastar, panda
Arlie Berge, Staryu, manatee
Ronald Schumm, Pidgeotto, duck
Mrs. Gale Mueller, Moltres, bat
Miss Arnold Dach, Raticate, louse
Agnes Weimann PhD, Beedrill, minnow
Nia Predovic, Geodude, hound
Mrs. Romona Brekke, Horsea, rabbit
Travis Baumbach, Jynx, koala
Palmer Jones, Kangaskhan, water buffalo
Omer Kemmer, Gastly, termite
Velia Buckridge, Aerodactyl, fly
Miss Bennie Morar, Zapdos, monkey
Tashia Treutel, Jigglypuff, scorpion
Ollie Schmeler, Sandslash, shark
Cyril Boyer I, Nidoran, minnow
Chung Wiegand, Moltres, turtle 
Odis Konopelski, Machop, horse
Lorette Hoppe, Moltres, serval
Ellsworth Feeney, Pidgeot, mammoth
