Mickey Wiza, Seel, eel
Levi Jast, Venusaur, bear
Perry Jacobson, Electabuzz, eagle
Estelle Greenholt, Nidorina, armadillo
Piper Hahn, Slowbro, bat
Derek Bailey DVM, Pidgey, mouse
Mrs. Jarrett O'Connell, Sandshrew, yak
Zulma D'Amore, Dodrio, antelope
Bok Hettinger, Exeggcute, pug
Miss Jefferson Ward, Magnemite, pug
Carson Bednar, Clefairy, llama
Machelle Friesen, Kabuto, prairie dog
Efrain Doyle, Weezing, leopard
Terrance Schamberger, Nidoqueen, chinchilla
Bobbie Dare, Raichu, whale
Joshua West, Machoke, grasshopper
Woodrow Prohaska, Poliwhirl, buffalo
Santiago Pacocha DDS, Golbat, seal
Ms. Kenia Breitenberg, Shellder, fish
Donella Harvey V, Flareon, worm
Maire Lind, Butterfree, mallard
Dacia Nitzsche, Spearow, cricket
Herbert Toy, Blastoise, bat
Miss Sang Green, Squirtle, llama
Ellsworth Yost, Staryu, termite
Jon Hilll, Gloom, cattle
Janiece Roberts, Farfetch'd, wallaby
Bradly Cormier IV, Primeape, wolf
Aleisha Lehner, Golbat, giraffe
Ghislaine Hauck, Pinsir, skunk
Clifton Welch, Venusaur, kangaroo
Terra Hills, Kingler, gnat
Ute O'Connell, Machoke, crab
Chuck Douglas, Spearow, yellowjacket
Freeman Brown, Machamp, beetle
Ray Streich, Victreebel, leopard
Gracia Ebert, Kabutops, otter
Herbert Raynor, Gyarados, leopard
Dr. Mario Rodriguez, Porygon, yellowjacket
Edmund Kertzmann V, Magneton, hedgehog
Lucio Wehner, Jigglypuff, mink
Macie Dickinson, Slowpoke, hippopotamus
Monroe Fadel, Farfetch'd, reindeer
Nelle Mills, Dugtrio, kangaroo
Young Predovic, Porygon, gerbil
Boyd Daugherty, Venonat, shark
Bernardo Wolf, Cloyster, clam
Rico Greenfelder V, Venonat, frog
Lenny Rogahn, Kakuna, jellyfish
Andera Flatley V, Rattata, donkey
