Luz Stoltenberg IV, Kabuto, giraffe
Franklin Crooks, Magmar, snake
Dr. Rosalva Mayer, Kakuna, tiger
Brendan Cartwright Sr., Nidoran, minnow
Roxanne McCullough, Seadra, yellowjacket
Ernie Batz, Articuno, gorilla
Miss Damian Connelly, Raichu, wolf
Travis Runolfsson, Koffing, chimpanzee
Edris Quigley, Tauros, locust
Alonzo Ledner, Nidoran, seal
Paul Goyette PhD, Dewgong, tortoise
Marquis Mertz, Golem, clam
Scott Mante, Jynx, wildebeest
Alysia Ferry, Vulpix, monkey
Ambrose Padberg, Mr. Mime, bear
Mack Tromp, Hypno, ant
Johnie Kerluke, Staryu, goose
Kathrin Brakus, Kabutops, fly
Jamika Cormier, Charizard, crow
Aleisha Little, Cubone, deer
Ona Cartwright, Slowpoke, bear
Vasiliki Weissnat V, Paras, dinosaur
Alvin Nicolas I, Kabutops, mammoth
Katina Lindgren, Jolteon, rabbit
Jerold Leuschke, Electrode, fly
Clint Schiller, Metapod, prairie dog
Fidel Witting, Krabby, goose
Miss Spring Grimes, Scyther, hornet
Aleshia Lynch IV, Poliwhirl, caribou
Kellee Ritchie, Nidorina, hyena
Aron Bradtke, Tauros, wallaby
Ezequiel Predovic, Ekans, hyena
Karen Gislason, Weepinbell, wildebeest
Miss Wynona Jacobson, Machamp, porcupine
Rodney Hackett, Meowth, ant
Annalee Fadel DVM, Pinsir, bear
Dominick Morar, Shellder, hedgehog
Clayton VonRueden, Nidoking, armadillo
Fred Hagenes, Nidorina, gnat
Ami Herman, Kangaskhan, snail
Leopoldo Williamson, Kadabra, gnu
Dr. Heidi Moore, Drowzee, wildebeest
Altha Ankunding, Exeggutor, cicada
Jamie Bailey, Metapod, sardine
Reda Davis PhD, Voltorb, tiger
Dr. Valene Hettinger, Haunter, snail
Gaston Ortiz, Zapdos, cheetah
Miss Candis Pfeffer, Lapras, termite
Myles Friesen, Flareon, toad
Barry O'Keefe, Seadra, zebra
