Dr. Malvina Rodriguez, Diglett, tiger
Crystal Jaskolski, Exeggutor, dog
Jerry Rohan, Scyther, impala
Valeria Dicki MD, Rapidash, crow
Melia Kerluke DVM, Pidgeotto, ant
Mrs. Maryjo Waelchi, Nidorino, raven
Ismael Bradtke II, Golbat, armadillo
Curtis Lebsack, Voltorb, camel
Yaeko Purdy Sr., Spearow, kangaroo
Gerardo Schroeder, Magneton, gnat
Alexis Swaniawski, Tauros, mosquito
Numbers Abbott, Victreebel, wildebeest
Oswaldo Schuppe, Graveler, cod
Mrs. Calvin Konopelski, Ekans, termite
Colby Doyle, Weezing, elk
Marcelle Kiehn IV, Golbat, hound
Jerlene Bosco MD, Pidgeot, coyote
Lindsay Kunde, Parasect, squirrel
Gail Murray I, Weezing, sardine
Gloria Baumbach IV, Dratini, pug
Shauna Lebsack, Kangaskhan, koala
Kay Pagac, Doduo, spider
Aldo Wolf, Nidorina, impala
Tom Lindgren, Blastoise, butterfly
Agueda Marvin, Vileplume, armadillo
Reed Denesik, Arcanine, reindeer
Dr. Andreas Swift, Venomoth, deer
Kamilah Russel, Ivysaur, bee
Carmelo Russel DVM, Onix, bat
Mr. Bennie Hyatt, Abra, gnat
Norbert Considine, Marowak, pug
Mr. Rocco Gulgowski, Dewgong, macaw
Dante Schultz, Bellsprout, salmon
Annalee Walter, Rattata, dog
Reyna Bechtelar, Exeggutor, raven
Jarrod Heaney, Mankey, mule
Shaun Langworth, Eevee, moose
Caterina Koelpin, Metapod, lizard
Enrique Hamill, Kingler, fish
Lavern Glover, Geodude, duck
Lisbeth Dicki, Omanyte, leopard
Mr. Piedad Reynolds, Kadabra, wolf
Del Johnson I, Dewgong, bee
Dr. Mariana Jaskolski, Kabuto, frog
Donna Hahn, Golduck, impala
Curt Ernser, Mankey, dolphin
Britt Hoppe DDS, Chansey, pig
Gregorio Jacobs, Growlithe, toad
Latashia Cummerata, Porygon, crab
Carlie O'Reilly, Clefairy, monkey
