Troy Conn MD, Mewtwo, butterfly
Macy Langosh, Hitmonlee, porpoise
Ursula Zulauf, Jigglypuff, mouse
Wallace Towne, Kadabra, eagle
Reuben Rutherford, Cloyster, goldfish
Debera Lynch, Ninetales, hippopotamus
Werner Keeling IV, Horsea, beetle
Susy Heaney I, Kakuna, caribou
Fredric Corkery MD, Kingler, sea lion
Leslie Bednar, Charmeleon, minnow
Jamey Schiller, Weepinbell, skunk
Miss Stanford Schaefer, Squirtle, giraffe
Zandra Romaguera, Krabby, porcupine
Elsie Quigley, Mr. Mime, trout
Danilo Leannon, Eevee, lion
Dr. Millard Maggio, Seaking, mink
Norene Graham MD, Psyduck, woodchuck
Ms. Alix Legros, Dewgong, crow
Dewey Murphy, Marowak, gorilla
Nova Ebert DDS, Goldeen, alpaca
Isobel Kub, Gengar, clam
Lonnie Harris, Nidoking, lion
Ted Hudson III, Poliwag, crow
Randall McClure, Vileplume, otter
Carita Langosh, Golduck, ape
Miss Loreen Emard, Cloyster, eel
Keenan Armstrong, Butterfree, rabbit
Mauro Zieme, Doduo, buffalo
Mrs. Vito Runte, Nidoran, serval
Jefferson Stokes III, Cloyster, frog
Gino Marks V, Nidorina, raven
Seymour Schowalter, Omanyte, caribou
Morris Koch, Clefable, pig
Miss Hackett, Dewgong, wolf
Dr. Gerald Yost, Slowbro, fish
Mr. Stevie O'Hara, Poliwhirl, crow
Frederick Brown, Jigglypuff, cat
Mora Jenkins, Vileplume, zebra
Dollie Koepp, Porygon, wallaby
Dr. Byron Oberbrunner, Machamp, donkey
Scottie MacGyver, Clefairy, hippopotamus
Cory Jaskolski, Oddish, crow
Dorian Koss DDS, Squirtle, walrus
Sean Ondricka, Omanyte, fly
Ronald Bartoletti, Kabutops, raccoon
Dr. Christian Harvey, Clefable, grasshopper
Mitchell Lubowitz, Moltres, mosquito
Tammara Hilll, Mankey, mule
Adrien Paucek, Kangaskhan, ape
Holly Wiegand, Dewgong, squirrel
