Haydee Braun, Poliwag, frog
Napoleon Fahey, Kingler, beetle
Trenton Willms, Omanyte, mole
Lacie Grimes, Gloom, sardine
Charlott Jerde, Dugtrio, wolf
Elden Schimmel, Machamp, tiger
Mr. Janene Cartwright, Krabby, hamster
Roger Sipes, Arcanine, caribou
Mellisa Littel, Pikachu, herring
Andrew Boyer, Ivysaur, macaw
Regina McClure, Aerodactyl, wildebeest
Armando Murray, Golduck, wallaby
Angeline Hermiston, Vaporeon, guinea pig
Ms. Aldo Buckridge, Machamp, whale
Mrs. Marquitta Altenwerth, Kingler, camel
Hobert Ondricka III, Eevee, crab
Kala Kuvalis, Drowzee, dolphin
Vertie Kovacek, Exeggcute, frog
Xiao Raynor, Onix, ferret
Rochelle Shields, Aerodactyl, hedgehog
Manuel Douglas, Pidgeot, beaver
Evan Bartoletti, Dewgong, mole
Keren Schamberger, Rattata, spider
Alfreda Schowalter DVM, Omanyte, panda
Miss Fletcher Wiza, Krabby, ox
Sammie Bechtelar, Cloyster, macaw
Manuel Roberts PhD, Slowpoke, platypus
Marian Schuster, Nidoqueen, clam
Cedric Klein, Rhyhorn, woodchuck
Broderick Friesen, Oddish, seal
Dewey Smitham, Dugtrio, raccoon
Emory Cummerata, Eevee, ox
Bernice Lueilwitz, Magnemite, worm
Elden Gusikowski, Nidorino, turtle 
Mui Marvin, Nidorina, porcupine
Jacob Prosacco, Doduo, termite
Oscar Roberts, Weezing, scorpion
Miss Rory Kovacek, Persian, louse
Diana Roberts, Machamp, crab
Manuela Kunze, Kabutops, wombat
Tommie Durgan MD, Meowth, alpaca
Rudy Larson, Moltres, dolphin
Kerry Breitenberg, Rapidash, toad
Nathanial Wyman, Venomoth, yak
Michael Harvey, Scyther, panda
Franklyn Schaden, Parasect, hare
Lissa Kling Sr., Mankey, weasel
Mrs. Howard Brakus, Meowth, tiger
Gregory Medhurst Jr., Venonat, swan
Ryann Ryan V, Mankey, hedgehog
