Roger Walker, Weedle, goldfish
Zachary Hettinger Sr., Goldeen, sea lion
Jamison Fritsch, Ivysaur, giraffe
Huey Reynolds IV, Gengar, ferret
Frances Sauer, Raichu, deer
Jade Flatley, Marowak, snail
Theresa Bernier, Omastar, cicada
Alex Klocko, Cloyster, rabbit
Abel Kohler II, Electabuzz, chinchilla
Exie Turner, Dugtrio, cod
Pedro Auer, Cubone, monkey
Celestina Koepp, Bulbasaur, pug
Mildred Bruen II, Diglett, kangaroo
Johnie Kunze, Poliwrath, camel
Margie Mertz III, Poliwrath, dog
Annis Welch Jr., Mew, donkey
Dirk Hamill, Persian, tortoise
Weston Brown, Snorlax, llama
Inger Strosin, Nidoran, scorpion
Angelica Emard, Fearow, dolphin
Marsha Lemke, Mewtwo, armadillo
Danilo Jenkins, Graveler, bear
Broderick Rolfson, Mewtwo, badger
Ethelyn Pacocha PhD, Starmie, hornet
William Kulas, Tangela, salmon
Carmen King, Psyduck, alligator
Augustine Paucek, Squirtle, dog
Ms. Sharen Kris, Tentacruel, beetle
Olen Kihn, Bulbasaur, bear
Ingrid Hamill, Machop, weasel
Jed Deckow, Ditto, mole
Ashly Streich, Voltorb, wasp
Olevia Swift, Persian, spider
Paris Heidenreich, Golem, water buffalo
Dr. Erinn McLaughlin, Magmar, porpoise
Torie Hickle, Pidgeot, butterfly
Buena Tromp MD, Dewgong, hound
Kandra Swift, Zapdos, armadillo
Johnny Walter, Marowak, salmon
King Frami, Nidorina, worm
Erick Cruickshank, Nidorina, cheetah
Del Stehr, Electrode, squirrel
Kerry Oberbrunner, Gloom, water buffalo
Jamie Heller, Charmander, walrus
Raven Berge, Sandslash, porcupine
Daine Waelchi, Slowpoke, pug
Seymour Schneider, Nidoqueen, squirrel
Mrs. Freda Romaguera, Sandslash, cockroach
Ramon Lubowitz, Primeape, buffalo
Ms. Nia Gerlach, Graveler, cockroach
