Rosalia Mueller DDS, Mewtwo, chimpanzee
Carlyn Bechtelar, Lapras, frog
Trisha Jast, Snorlax, ferret
Mrs. Shakira Price, Weepinbell, scorpion
Chanel Simonis, Starmie, macaw
Alena Kihn IV, Kadabra, sheep
Buck Durgan, Golem, mule
Jeromy Kuhic, Rattata, gnat
Quintin Zboncak, Squirtle, rat
Leatha Nader, Raticate, armadillo
Royce Mills, Squirtle, shark
Elna Goodwin, Sandslash, bat
Donna Feest, Machop, worm
Johnathan Kohler PhD, Vaporeon, coyote
Fernando Howell, Kabuto, snail
Gwyn Blick, Pidgeot, muskrat
Joseph Quitzon, Spearow, hare
Ray Schuster, Jolteon, beaver
Isaias Jones, Beedrill, walrus
Dr. Hal Stamm, Nidorina, porcupine
Anika Maggio, Nidoking, herring
Lesa Cronin, Kingler, armadillo
Harvey Mayert, Paras, scorpion
Irvin Lueilwitz, Metapod, bat
Mariah Borer, Oddish, cicada
Miss Bambi Wisozk, Dewgong, mosquito
Barton Schultz, Poliwhirl, mammoth
Milagro Kessler, Tangela, water buffalo
Shanel Bashirian, Vileplume, clam
Devorah Renner, Nidorina, woodchuck
Nicky Roob, Seadra, macaw
Florencia Jaskolski, Nidoran, chimpanzee
Essie Pacocha, Kakuna, wallaby
Ms. Alejandra Stokes, Paras, fox
Marylynn Mraz, Golduck, dolphin
Maya Marks, Seel, seal
Joan Pagac, Mew, reindeer
Damian Dickens, Oddish, mammoth
Porsha Lebsack, Nidorina, eagle
Ms. Star Schinner, Tangela, gnat
Mr. Joe Farrell, Tentacruel, leopard
Adam Hammes, Machoke, muskrat
Marvin Goodwin Jr., Parasect, sardine
Ulrike Hudson, Dugtrio, deer
Eugene Gutmann, Golbat, pig
Bernadette Reinger, Muk, porpoise
Georgann Tremblay II, Farfetch'd, rat
Fidel White, Diglett, eagle
Miles Cremin, Pidgeot, moose
Mrs. Mavis Deckow, Nidoqueen, squirrel
