Fonda Wunsch, Nidorina, raven
Larhonda Kovacek, Fearow, hare
Erwin Medhurst V, Gyarados, porcupine
Vanda Maggio, Tauros, oyster
Gerardo Turner, Rhyhorn, hyena
Tomika Lebsack, Kadabra, clam
Katelynn Nikolaus, Mr. Mime, hound
Dan Reilly, Koffing, fish
Sterling Schamberger, Alakazam, goldfish
Vera Hagenes, Pinsir, salmon
Calvin Schroeder, Metapod, cat
Fletcher Hermiston, Snorlax, turtle 
Mrs. Kenny Stamm, Electrode, louse
Ruthann Kreiger, Dragonair, frog
Vern Graham, Bulbasaur, wildebeest
Beatriz Heaney, Bellsprout, buffalo
Dane Macejkovic III, Poliwrath, whale
Riva Turner, Tauros, fish
Kristi Miller, Exeggutor, gnat
Miss Fritz Bailey, Arbok, beetle
Mrs. Lyman Swift, Drowzee, toad
Kayce Ruecker, Rapidash, pig
Daniel Stokes, Shellder, eagle
Mohammad Powlowski, Nidoran, cheetah
Eldon Marquardt, Electrode, fox
Madison Wilderman, Dewgong, hound
Sherrill Williamson, Lapras, gnu
Sid Aufderhar, Drowzee, locust
Lenora Reilly, Magmar, pig
Jake Kassulke, Kabutops, snail
Ms. Thad Hamill, Bellsprout, caribou
Cameron Heidenreich, Rhyhorn, zebra
Esteban Kuvalis III, Venusaur, goose
Max Koelpin MD, Kangaskhan, pug
Cleveland Herzog Sr., Golem, dolphin
Dierdre Hane, Mr. Mime, elk
Millicent Daugherty, Raticate, pig
Rubie Kuhn, Dugtrio, ferret
Jannette Lynch, Voltorb, elk
Shenna Mayer, Exeggcute, coyote
Ying Tillman, Kabutops, rat
Lucilla Lubowitz, Koffing, swan
Eusebia Oberbrunner II, Starmie, bear
Janel Bergstrom, Machamp, jellyfish
Mia Klocko, Weedle, mosquito
Leanna Marvin, Tentacruel, mallard
Tessa Bartoletti III, Zubat, mole
Jolyn Kerluke, Vileplume, buffalo
Nancy Moen I, Kingler, elephant
Lynne Buckridge, Slowpoke, caribou
