Moses Schneider III, Kingler, toad
Ms. Colton Rutherford, Bulbasaur, gnu
Jolynn Lynch, Flareon, horse
Arlie Bergnaum, Moltres, eel
Rolland Becker, Doduo, hippopotamus
Lea Beahan, Ivysaur, horse
Booker Bechtelar, Wartortle, eel
Drema Lubowitz, Zubat, kangaroo
Gearldine Torphy, Moltres, duck
Dr. Malinda Strosin, Magmar, bee
Elvia Kemmer, Zapdos, ant
Dorthy Daniel, Pikachu, dinosaur
Eusebio McDermott, Ekans, hamster
Norbert Walsh, Paras, pug
Katharina Stehr, Weezing, mammoth
Brigid Champlin, Mr. Mime, wombat
Leida Kuhn V, Dragonair, serval
Ethel Lockman, Jynx, wildebeest
Coral Langosh, Spearow, alpaca
Shawn Bruen, Venusaur, snake
Delsie Zboncak Jr., Growlithe, toad
Amira Windler, Articuno, gerbil
Randal Huels, Eevee, coyote
Marcia Pfannerstill, Arbok, lion
Miss Jacquelyne Ortiz, Blastoise, goat
Tomika Tromp II, Gyarados, wasp
Tomiko Fadel DDS, Weepinbell, beetle
Colton Lind I, Poliwrath, cockroach
Jackeline Towne, Pidgey, lion
Norbert Legros IV, Grimer, walrus
Gerald Deckow, Kangaskhan, reindeer
Harris Casper, Gastly, hamster
Jacquiline Johnson, Magnemite, wallaby
Carin Thompson, Machoke, weasel
Jaime Rath, Ivysaur, cricket
Taylor Barrows, Kabutops, scorpion
Miss Porsha Schuster, Charizard, eagle
Lashonda Jaskolski III, Meowth, hound
Luetta Little, Gloom, crocodile
Thresa Stroman, Articuno, cattle
Marlys Runolfsdottir, Venomoth, mouse
Harriette Boyle, Seadra, deer
Ms. Albert Larkin, Paras, butterfly
Franchesca Barton MD, Mankey, wildebeest
Edyth Schuster, Weezing, minnow
Fermin Graham PhD, Hitmonchan, cheetah
Harriett Ledner, Golem, cod
Bobbie Bins, Flareon, sardine
Omar Altenwerth, Zubat, armadillo
Inga Effertz MD, Chansey, panda
