Dewey DuBuque, Vaporeon, coyote
Laurence Waters, Rapidash, fly
Shana Frami I, Kangaskhan, eel
Robert White, Tauros, pug
Mario Ward PhD, Raichu, horse
Brooks Roberts, Flareon, tiger
Clinton Jerde, Venonat, scorpion
Issac Fritsch PhD, Snorlax, water buffalo
Catarina Tromp, Snorlax, jackal
Christopher Hayes, Starmie, hippopotamus
Lupe Beatty, Alakazam, mouse
Walter Wilkinson, Dratini, minnow
Rachal Schroeder, Jynx, camel
Giselle Weissnat, Golem, seal
Tuan Von, Rapidash, mosquito
Giuseppe Koepp Jr., Lickitung, wildebeest
Mrs. Jean Kozey, Magnemite, water buffalo
Evangelina Nitzsche, Nidoqueen, crab
Marcene Kub, Marowak, antelope
Brendon Smitham, Growlithe, tortoise
Lucas Becker, Starmie, skunk
Joan Anderson, Dugtrio, lion
Nathanial Gerhold, Weepinbell, wildebeest
Elna O'Conner MD, Electrode, hound
Eddy Schultz I, Beedrill, koala
Barton Cremin, Nidorina, swan
Lloyd Torphy Jr., Hitmonlee, wildebeest
Ernest Stiedemann III, Muk, yellowjacket
Shanell Raynor, Rattata, skunk
Mrs. Celeste Davis, Electabuzz, scorpion
My Kerluke, Charizard, bee
Mr. Kristofer O'Reilly, Kadabra, worm
Mitchel Jones Sr., Weedle, skunk
Jame Spencer, Mewtwo, mole
Daniel Rice, Kadabra, cockroach
Ulysses Waelchi, Sandshrew, tiger
Mr. Tomi Hintz, Omastar, panda
Willian Prosacco, Dragonair, tortoise
Lakita Bahringer, Electabuzz, wallaby
Jame Schroeder, Haunter, platypus
Gillian Herzog, Seadra, ferret
Ms. Elias Bernhard, Dewgong, wombat
Bernardina Bayer, Ivysaur, tortoise
Signe Schumm MD, Mankey, mallard
Dr. Trinidad Jast, Magmar, hound
Tamara Gutkowski, Primeape, otter
Kacie Oberbrunner II, Machoke, toad
Margarito Kautzer, Lapras, whale
Jerald Ondricka, Poliwrath, deer
Hazel Kovacek III, Pidgeotto, water buffalo
