Kris Lebsack, Metapod, hound
Benjamin Mann IV, Gloom, yellowjacket
Everette Corkery, Machop, mosquito
Ms. Stefan McDermott, Venonat, shark
Frank McDermott, Raticate, badger
Clark Schoen, Caterpie, walrus
Kasha McClure, Nidorino, sheep
Dr. Ceola Lakin, Abra, salmon
Del Miller, Arbok, dog
Cayla Bayer, Weedle, eel
Marlana Volkman, Mewtwo, chinchilla
Janey Sporer, Snorlax, cricket
Miss Rodger Beatty, Articuno, cheetah
Ashley Mitchell MD, Raticate, fish
Tarah Smith, Rapidash, bat
Dr. Ethan Fritsch, Farfetch'd, raven
Mr. Edythe Rutherford, Dugtrio, mammoth
Odell Gottlieb, Chansey, lion
Mrs. Ricardo Predovic, Nidorina, elephant
Concha Blanda II, Drowzee, porpoise
Shauna Glover, Lapras, fly
Mr. Dirk Schmitt, Gastly, impala
Fermin Quitzon, Arbok, hare
Aundrea Hermiston III, Tentacruel, beaver
Dara Effertz I, Kabuto, yak
Guillermo Hane, Mew, giraffe
Brady Schulist V, Spearow, squirrel
Eddie Hintz, Aerodactyl, buffalo
Tabetha Gusikowski, Omanyte, yellowjacket
Mallie Weimann, Venusaur, goose
Virgie Schinner, Cubone, ant
Dara Kilback, Porygon, buffalo
Lawrence Kuhlman, Persian, mallard
Truman Reinger, Electabuzz, hound
Miss Carol Zemlak, Beedrill, grasshopper
Florencio Donnelly, Magikarp, fox
Livia Swift, Nidoqueen, prairie dog
Junior Maggio, Graveler, skunk
Leonila Bradtke, Slowbro, dinosaur
Deshawn Kling DDS, Poliwhirl, camel
Sueann Bartoletti, Shellder, tortoise
Aleisha Heller, Dragonite, beetle
Dr. Andre Ratke, Electabuzz, gnu
Eugenie Cronin Jr., Dodrio, whale
Zora Price, Kangaskhan, bee
Dr. Shera Steuber, Horsea, fly
Jonathon Kuhn, Hitmonchan, trout
Jared Spinka DDS, Magneton, louse
Cassidy Hettinger, Victreebel, zebra
Mrs. Rickey Johnson, Omastar, kangaroo
