Shaunte Bernier, Mr. Mime, wildebeest
Morgan Ondricka, Dodrio, alpaca
Loma Grimes, Nidoran, skunk
Dannie Bergnaum, Kangaskhan, dolphin
Clyde Hagenes DDS, Omanyte, toad
Mrs. Noble Kozey, Mew, monkey
Siu Klocko, Rapidash, spider
Genaro Steuber, Beedrill, shark
Frankie Gutkowski, Paras, cattle
Cathey Howell, Tauros, hornet
Jay VonRueden, Gloom, antelope
Ms. Foster Heidenreich, Clefairy, scorpion
Yer Hoeger, Magneton, water buffalo
Bart Cremin PhD, Mr. Mime, alpaca
Marsha Ziemann Jr., Golduck, crow
Kimberly Rowe, Shellder, rabbit
Bret Denesik, Porygon, wallaby
Renata Hintz, Poliwhirl, wildebeest
Elane Schmidt, Cubone, duck
Pedro Lakin, Aerodactyl, panda
Tomasa Boyle, Charizard, jellyfish
Willard Champlin, Clefable, oyster
Kasey Hamill, Sandshrew, wombat
Dr. Emmett Mitchell, Jigglypuff, jellyfish
Latonia Sporer DVM, Articuno, hornet
Magda Gusikowski III, Koffing, gnu
Kaitlin Friesen III, Porygon, otter
Tod Bayer, Rattata, rhinoceros
Ms. Shaquana Romaguera, Zapdos, zebra
Dr. Jame Hills, Persian, antelope
Lamonica Ebert, Kangaskhan, rhinoceros
Stevie Ortiz, Doduo, spider
Kendall Wolf, Chansey, shark
Winfred Kuhlman, Gloom, panda
Abram Fahey II, Clefairy, marten
Mr. Donnell Cassin, Gengar, reindeer
Zackary Langworth III, Gyarados, monkey
Nena Zieme, Lapras, deer
Hsiu Baumbach, Flareon, muskrat
Shelba Ullrich, Persian, gnat
Sergio Smitham, Articuno, worm
Dr. Rosalia Wyman, Hypno, fly
Alton Adams, Zapdos, mouse
Miss Hisako Hodkiewicz, Vaporeon, raccoon
Kasey Runolfsson, Parasect, chinchilla
Perry Braun, Voltorb, trout
Margert Stracke, Zapdos, hippopotamus
Rufus Kautzer, Venomoth, pug
Ahmad Bauch, Magikarp, camel
Charis Collier, Exeggcute, ox
