Sade Gibson, Blastoise, crocodile
Carey Hoppe, Shellder, cicada
Tony Cruickshank III, Rapidash, macaw
Amos Brakus, Psyduck, moose
Dr. Jefferson Champlin, Staryu, wallaby
Isaias Cummerata, Jigglypuff, cod
Brendan Ritchie V, Weedle, frog
Devona Shields PhD, Diglett, guinea pig
Janie Runte, Aerodactyl, tortoise
Ahmed Nitzsche, Articuno, guinea pig
Willard Grimes, Paras, duck
Zoe Price MD, Weezing, yak
Frankie Corwin, Jynx, zebra
Robbin Schroeder, Kabutops, snail
Brunilda Braun, Drowzee, worm
Jermaine Hoppe, Fearow, fish
Makeda Block, Beedrill, guinea pig
Gaylord Swift, Slowbro, cod
Paris Halvorson, Pidgeot, manatee
Mr. Doretha Emmerich, Jolteon, wildebeest
Carri Thompson, Primeape, hedgehog
Edgar Pagac, Flareon, herring
Virgil Moore, Jolteon, whale
Trista Cummerata, Jolteon, muskrat
Mrs. Emery Durgan, Mankey, coyote
Alma Herzog MD, Poliwhirl, duck
Clayton Konopelski, Weedle, sardine
Roger Davis, Persian, oyster
Mrs. Sang Batz, Drowzee, worm
Belle Feeney, Koffing, jellyfish
Miss Miles Muller, Tentacool, camel
Blake Rippin, Pikachu, ferret
Kisha Bayer, Lapras, eel
Billi Christiansen DDS, Weepinbell, marten
Jacquelynn Blick, Electrode, crow
Angela Streich I, Nidorino, camel
Domenic Kerluke, Growlithe, wombat
Janel Orn, Chansey, llama
Mr. Terrance Sporer, Cubone, otter
Garfield Collins II, Tangela, bear
Eric Greenholt, Kadabra, caribou
Harold Pouros III, Dragonite, llama
Hyman Grimes DDS, Persian, bat
Waneta Swaniawski, Gyarados, bear
Laverne Herzog, Persian, trout
Ilse Heller, Mew, mule
Micah Stoltenberg, Charmander, muskrat
Maranda Corwin, Jigglypuff, impala
Paris Greenholt, Metapod, tortoise
Alanna Dach, Dewgong, fox
