Joe Dickinson, Poliwrath, spider
Drew Zboncak, Vileplume, wallaby
Patricia Grady, Cubone, minnow
Emily Johns, Dewgong, badger
Donn Lueilwitz, Lapras, dolphin
Lyle Nolan, Starmie, mole
Laureen Stracke, Magneton, giraffe
Theodora Mayert, Kangaskhan, rhinoceros
Santos Purdy, Pidgeot, badger
Mr. Rodrick Considine, Magikarp, platypus
Sandee Connelly, Machop, marten
Wilbert Cummings, Magmar, beaver
Clifton Brown Jr., Nidorino, alpaca
Robt Strosin, Nidoking, toad
Mrs. Jessie Stokes, Dugtrio, hound
Jami Mann, Arcanine, dinosaur
Chantay Ortiz, Gloom, goose
Parker Lemke, Gyarados, gnat
Lawerence Goodwin V, Paras, rabbit
Kasandra Miller, Charmeleon, locust
Jeffry Becker, Hitmonchan, badger
Floria Hane, Voltorb, goose
Genevie Littel DVM, Seadra, herring
Mrs. Andreas Christiansen, Meowth, minnow
Mr. Pearlie Armstrong, Dragonite, hyena
Eva Labadie, Nidorino, tiger
Kathrin Wolf, Alakazam, goose
Ms. Milton Batz, Persian, bat
Patrick Huels II, Nidoking, goldfish
Hosea Abshire, Pinsir, panda
Chong Carroll, Gloom, chinchilla
Kemberly Prosacco, Farfetch'd, worm
Vince Bednar V, Drowzee, bee
Rigoberto Schaden, Starmie, scorpion
Keira Keebler, Kakuna, lizard
Ronald Bradtke Sr., Abra, jellyfish
Jodee Turner, Dodrio, lizard
Oscar Ferry Jr., Golduck, mink
Ronna Weber, Electrode, dolphin
Ryann Powlowski, Grimer, ant
Esther Gerlach, Meowth, snake
Nicky Upton, Jynx, camel
Dr. Jorge Jerde, Shellder, rat
Miss Pablo Gulgowski, Raichu, prairie dog
Efrain Leffler, Nidorina, mole
Mrs. Mathew Carter, Charizard, pig
Leana Graham, Muk, prairie dog
Shaneka Runolfsson, Dratini, porcupine
Matthew Ebert, Magmar, horse
Miss Fabian Runolfsson, Golbat, rabbit
