Alvaro Conroy, Horsea, scorpion
Caitlyn Russel, Staryu, mole
Chandra Bogan, Tentacruel, gerbil
Lamont Yost II, Bulbasaur, monkey
Frederic Bernier III, Poliwrath, walrus
Ms. Christinia Wintheiser, Growlithe, sardine
Garland Cremin, Pikachu, elephant
Ms. Shaun Rippin, Starmie, dog
Clarence Stroman, Seadra, hound
Shirley Toy III, Eevee, crocodile
Mr. Chuck Kiehn, Vileplume, lizard
Dr. Brady Lakin, Seaking, elephant
Miss Miesha O'Hara, Snorlax, muskrat
Miguel Torphy, Dewgong, hedgehog
Liane Beahan, Primeape, louse
Dr. Elden Prosacco, Ekans, fish
Vaughn Hansen, Tentacool, trout
Tosha Robel, Kingler, mouse
Alonzo Gorczany I, Kabutops, bee
Jerome Considine, Golbat, horse
Ms. Genaro Lesch, Pikachu, wallaby
Jarred Champlin, Tangela, fly
Russel Wolf, Electrode, wombat
Vince Welch, Articuno, giraffe
Suellen Heaney, Slowpoke, mouse
Aiko Klein II, Voltorb, wombat
Jerold Cummerata, Nidorina, moose
Laureen Wyman, Primeape, frog
Ms. Janean Murazik, Hitmonlee, moose
Ricardo Flatley, Venusaur, grasshopper
Etsuko Leuschke, Hypno, fly
Madalene Schmeler, Eevee, mink
Jaye Doyle, Kabuto, cheetah
Virgilio Halvorson, Bellsprout, porcupine
Clay Upton II, Arcanine, moose
Maurice Stokes, Pikachu, mouse
Dan Feest III, Tentacruel, cod
Lucius Hermiston, Pidgey, hyena
Nickolas Dooley, Zapdos, worm
Mr. Alvin Glover, Kangaskhan, beetle
Karla Keeling I, Venusaur, hyena
Leisa Koepp, Omastar, frog
Coy Murazik, Porygon, shark
Eryn Rogahn, Kabuto, pig
Woodrow Schinner, Hitmonchan, eel
Jewell Turner, Zapdos, wildebeest
Bertram Mueller I, Cubone, llama
Merrill Turcotte, Goldeen, cicada
Jenice Waelchi, Vaporeon, ferret
Carlo Hagenes, Nidorina, goat
