Jack Paucek, Kadabra, eel
Miss Krystina Blanda, Alakazam, water buffalo
Will Lehner, Pikachu, otter
Grazyna O'Conner, Oddish, elk
Marquetta O'Connell, Dratini, alligator
Miss Tanner Rosenbaum, Exeggcute, ant
Tam Corkery, Pidgeotto, mole
Ms. Cristopher Shields, Vulpix, mole
Ms. Les Halvorson, Lapras, grasshopper
Mr. Eduardo Beer, Meowth, raccoon
Domonique Runolfsson, Oddish, hornet
Eve Yundt, Muk, swan
Carline Bernier, Venusaur, platypus
Cecille Wyman, Jynx, macaw
Usha Lang, Spearow, crab
Loyd Ullrich, Magikarp, guinea pig
Douglass Buckridge, Dratini, monkey
Marita Tromp, Omanyte, herring
Quentin Friesen, Charmander, hamster
Devora Schroeder, Eevee, guinea pig
Tania Becker, Gyarados, elephant
Malik Weissnat, Metapod, eel
Carroll Mraz, Arbok, mouse
Long Heller, Pidgeotto, cockroach
Dr. Lucinda Deckow, Charmander, porpoise
Keven Rice, Electabuzz, deer
Miss Russell Hermiston, Rapidash, clam
Donnell Bruen I, Mr. Mime, coyote
Dionne Schmitt, Vaporeon, raven
Manual Doyle, Pidgey, guinea pig
Lewis Weber, Wigglytuff, water buffalo
Jerrie Powlowski, Slowbro, weasel
Angel Schoen, Jolteon, raccoon
Layne Champlin, Hitmonlee, buffalo
Dierdre Johnson, Rhydon, otter
Mr. Lita Weissnat, Chansey, shark
Mrs. Marcela Hartmann, Poliwag, moose
Hershel Walsh, Squirtle, spider
Bee Schmeler DDS, Sandshrew, hippopotamus
Ashly Anderson, Abra, zebra
Frank Bednar I, Eevee, ox
Joann Treutel, Jigglypuff, raccoon
Twila Swift MD, Alakazam, shark
Dr. Lee Murazik, Seaking, panda
Janell Haag, Hypno, chinchilla
Tiffanie Auer MD, Omanyte, sheep
Stanton Vandervort V, Zubat, grasshopper
Ms. Bob Zboncak, Haunter, macaw
Coleman Turner, Dragonite, squirrel
Regena Stiedemann, Lickitung, mole
