Charlesetta Bernhard, Weedle, shark
Zella Konopelski IV, Rhyhorn, ferret
Rosana Walsh, Dodrio, raccoon
Derick Konopelski, Haunter, dog
Sheron Jones, Bulbasaur, whale
Jone Veum, Spearow, eagle
Willy Rippin, Abra, herring
Cory Tromp, Wigglytuff, horse
Emma Marvin, Nidoqueen, koala
Elmer Stoltenberg, Lapras, gerbil
Rebbecca Brown I, Nidoqueen, donkey
Tyree Terry, Jolteon, herring
Clarita Breitenberg, Nidoking, baboon
Mr. Hoyt Stoltenberg, Ponyta, bee
Gregg Stark, Chansey, zebra
Ms. Arminda Waters, Charmeleon, locust
Mr. Terrance Marvin, Staryu, jellyfish
Doyle Hickle Jr., Haunter, weasel
Buford Kunze, Sandslash, manatee
Lyndon Satterfield, Cloyster, porpoise
Elia Gutkowski, Tangela, yellowjacket
Mrs. Eusebio Goldner, Raticate, swan
Jena Wiza, Weedle, coyote
Zita Haley, Blastoise, lizard
Cheyenne Bergstrom, Krabby, zebra
Miss Mayola Morar, Arbok, mouse
Ms. Ferne Walter, Hitmonlee, louse
Marina Prosacco V, Tauros, elephant
Linnea Tromp, Poliwhirl, goldfish
Granville Tromp, Squirtle, trout
Mrs. Deandre Gutkowski, Hitmonchan, mink
Burton Harvey, Seadra, yellowjacket
Dewey Lemke DDS, Electrode, mouse
Wally Dickens, Lickitung, raven
Jewel Leannon, Slowpoke, toad
Miss Samuel O'Hara, Tentacool, cod
Jannet Kshlerin, Slowpoke, hornet
Courtney Ankunding, Moltres, rabbit
Hedy Bruen, Krabby, herring
Tasha Parker, Dragonite, serval
Bernardo Hegmann, Kangaskhan, donkey
Oren Deckow, Parasect, water buffalo
Colene Botsford, Porygon, leopard
Mr. Shaniqua Gibson, Jigglypuff, wombat
Mrs. Charissa Nienow, Magnemite, porcupine
Gertie Hauck, Electrode, antelope
Eboni Schimmel, Raticate, otter
Elizebeth Miller, Venusaur, zebra
Cira Wolff MD, Gengar, hamster
Tameka Schaden DVM, Chansey, bee
