Claude Bayer, Tauros, butterfly
Shiela Gleason, Nidoran, elephant
Clay Sipes, Magneton, serval
Mr. Linwood Prohaska, Horsea, locust
Mrs. Latosha Kulas, Sandslash, cat
Ms. Glayds Daniel, Dragonair, locust
Jorge Kling, Kabuto, giraffe
Lester Stiedemann, Clefable, termite
Laquanda Runolfsson, Hitmonchan, ferret
Wilmer Crist, Primeape, oyster
Nena Homenick, Voltorb, lion
Mr. Harvey Wisoky, Kadabra, cockroach
Burton Cremin, Vaporeon, snake
Devon Cummings Sr., Seadra, jellyfish
Simon Moore, Nidoran, hornet
Ma Connelly, Machop, elk
Mrs. Dallas Hettinger, Golbat, tiger
Jody Jones, Dragonite, oyster
Bess Lesch, Kingler, oyster
Patrice Rohan, Wartortle, weasel
Sammie Lindgren, Pidgeotto, dinosaur
Genaro Kessler, Sandshrew, termite
Mayme Cummerata, Jolteon, snake
Cordell Gislason, Dragonite, manatee
Louie Schimmel, Oddish, badger
Bibi Rogahn, Seaking, coyote
Darin Schmeler, Dewgong, mule
Abel Grady, Caterpie, armadillo
Amie Wyman V, Dugtrio, cod
Clement Barton, Abra, impala
Mr. Virgina Gislason, Pidgey, louse
Trenton Gusikowski, Farfetch'd, yak
Darin Renner Jr., Golduck, goat
Clarence Carter II, Kabutops, rat
Major Baumbach, Ditto, tiger
Kathern Stoltenberg, Vulpix, otter
Waldo Mitchell, Gloom, wolf
Monroe Borer, Eevee, otter
Vennie Kertzmann Jr., Exeggutor, hornet
Miss Noel Spinka, Gastly, worm
Daron Herzog Sr., Ponyta, porcupine
Marissa Robel, Exeggutor, snake
Vernell Mayer, Jigglypuff, crab
Daryl Rosenbaum, Moltres, yellowjacket
Isabell Doyle, Koffing, kangaroo
Edward Fay, Ponyta, pug
Soledad Steuber, Poliwrath, cat
Homer Dicki, Voltorb, louse
Odis Mueller, Pidgey, kangaroo
Giovanni Schinner, Vaporeon, baboon
