Lesli Price, Wartortle, crocodile
Jackie Heaney, Paras, turtle 
Miss Otto Kautzer, Golbat, zebra
Leon Pouros, Pinsir, gnu
Julian Mante, Shellder, water buffalo
Katrice Pouros, Koffing, fly
Leonard O'Kon V, Pidgeotto, bat
Amberly Douglas, Chansey, worm
Miss Shae Bahringer, Meowth, antelope
Dr. Kylie Paucek, Krabby, woodchuck
Miss Otha Jerde, Muk, spider
Jacob Swift, Charmeleon, zebra
Katheryn Ruecker, Pinsir, jellyfish
Shenna Luettgen, Sandslash, cockroach
Mr. Junior Willms, Moltres, salmon
Quyen Greenholt, Omastar, walrus
Lorri Towne I, Pidgeot, wallaby
Benny Heller Jr., Slowbro, marten
Lillian Crona, Seel, skunk
Karie Gleason V, Zubat, spider
Margarito Ankunding DDS, Gastly, wolf
David Abernathy Sr., Lapras, wallaby
Mr. Wilton Gulgowski, Zubat, fox
Indira Brown, Mewtwo, macaw
Helga Mante II, Seadra, wallaby
Rickie Upton, Marowak, ox
Ezequiel Douglas, Kakuna, crocodile
Vern Rippin, Bulbasaur, caribou
Seth Keebler PhD, Jynx, platypus
Carter Bernhard, Dodrio, gnat
Kelsi Hackett Sr., Lapras, cod
Dianna Torphy, Sandshrew, macaw
Jared Gorczany, Pidgeot, rhinoceros
Jesse Stokes III, Seadra, raven
Gussie Nikolaus Sr., Electabuzz, donkey
Eugene Thiel Sr., Alakazam, squirrel
Ms. Darwin Lesch, Beedrill, buffalo
Verlene Champlin, Paras, horse
Katharine Williamson, Zubat, gnu
Allen Funk, Gloom, tortoise
Harold McDermott, Exeggcute, marten
Bobbie Kuvalis Sr., Starmie, shark
Linh Jakubowski Sr., Exeggcute, guinea pig
Barton Orn, Parasect, hamster
Eldridge Satterfield, Electrode, goat
Rogelio Collier, Bulbasaur, pig
Miss Carma Wiegand, Diglett, rabbit
Sanjuana King, Horsea, wombat
Marco Koelpin, Muk, trout
Carmen Jaskolski, Kakuna, weasel
