August Beahan, Parasect, walrus
Mrs. Cruz Swaniawski, Jynx, antelope
Lyndon Lakin, Flareon, gerbil
Rodney Abbott, Scyther, snake
Emerson Gislason, Pikachu, muskrat
Judith Boyle, Parasect, caribou
Eloisa Smith, Marowak, trout
Ira Hoeger, Gyarados, crow
Mariam Russel, Raichu, sardine
Miss Courtney Botsford, Shellder, fly
Octavio Marks, Victreebel, crow
Nia Braun, Tentacruel, sardine
Miss Lynch, Nidoran, hare
Lissette Moen V, Caterpie, cheetah
Irena Graham, Dragonite, eel
Nestor Nolan, Golbat, gnat
Tawnya Upton, Poliwag, mink
Dr. Hung Cummings, Nidoran, goat
Mr. Val Dickinson, Slowpoke, tortoise
Babette Leuschke, Mr. Mime, fish
Sharleen Stroman DDS, Nidoran, herring
Miss Hiroko Leuschke, Haunter, cat
Candis Dickinson, Tangela, shark
Haywood Reilly DDS, Graveler, giraffe
Ira Borer, Wartortle, elephant
Lashaunda Lueilwitz, Kangaskhan, sheep
Lakenya Nikolaus, Exeggcute, cod
Van West, Ekans, crocodile
Mrs. Will Romaguera, Magnemite, gorilla
Valentin Kunze, Beedrill, reindeer
Denis Boehm, Eevee, gerbil
Dewey Haley DVM, Primeape, fly
Shakira Mraz, Seaking, wombat
Emmitt DuBuque DVM, Slowbro, armadillo
Harmony Walker II, Kakuna, mallard
Lawana Green, Doduo, rat
Walter Larkin, Porygon, alligator
Laurene Hyatt DVM, Pikachu, buffalo
Courtney Wilkinson, Drowzee, otter
Mario Wilderman I, Pidgey, beetle
Kattie Kertzmann, Paras, muskrat
Omar Schuster, Electabuzz, baboon
Dr. Bob Homenick, Ivysaur, fish
Ervin Bahringer, Rhydon, water buffalo
Kathlene Skiles, Weepinbell, turtle 
Miss Shawnee Vandervort, Nidoqueen, koala
Demarcus Schoen V, Psyduck, fox
Kirby Von, Zapdos, eel
Alease Zemlak, Rattata, rhinoceros
Ms. Veta Hickle, Tauros, beetle
