Mr. Gabriella Wiegand, Aerodactyl, coyote
Miss Saul Quitzon, Horsea, crocodile
Dotty Kunde, Eevee, mammoth
Deshawn Halvorson MD, Kangaskhan, cicada
Reid Mayert, Dewgong, weasel
Laurette Corwin, Vileplume, cricket
Maynard Hane DDS, Electrode, rhinoceros
Frank Hintz, Flareon, cockroach
Miss Shayne Smitham, Raichu, impala
Harry Gaylord PhD, Muk, mink
Ms. Gordon MacGyver, Geodude, jellyfish
Jefferson Stanton, Staryu, louse
Myrna Stark, Rapidash, reindeer
Lee Haag Jr., Flareon, raven
Dudley Carroll, Omanyte, herring
Danielle Vandervort, Blastoise, shark
Lianne Frami, Scyther, minnow
Hermelinda Dickens, Muk, cheetah
Alvaro Fritsch, Horsea, hound
Monika Vandervort, Staryu, badger
Ms. Demarcus Parker, Poliwhirl, gerbil
Kip Medhurst, Krabby, armadillo
Kristeen Batz, Jigglypuff, macaw
Miss Tony Little, Ponyta, kangaroo
Gene Hoeger, Kangaskhan, water buffalo
Eustolia Williamson, Butterfree, prairie dog
Norberto Goldner II, Charmeleon, grasshopper
Antonio King V, Squirtle, cod
Dino Schimmel, Seadra, wasp
Russ Jaskolski V, Jynx, ferret
Jenniffer Jenkins, Bulbasaur, moose
Orval Cormier, Goldeen, seal
Debera Lynch PhD, Grimer, gerbil
Sindy Davis PhD, Seel, spider
Danae Bernier, Blastoise, goat
Ms. Louella Kerluke, Spearow, camel
Cedric D'Amore IV, Rhyhorn, mouse
Abraham Brakus, Flareon, elk
Miss Adrianna Batz, Machamp, koala
Brendon Huel Sr., Weedle, whale
Renee Schneider, Pikachu, leopard
Eulah Abbott PhD, Golbat, macaw
Adan Wehner, Seaking, coyote
Alaine Powlowski, Arbok, lizard
Ressie Trantow V, Victreebel, baboon
Tonie Ruecker, Snorlax, gorilla
Sergio Feest, Slowpoke, fish
Treena O'Reilly, Raticate, sheep
Pamella Crist, Horsea, yellowjacket
Genaro Simonis DVM, Exeggcute, guinea pig
