Jennell Corkery V, Kakuna, guinea pig
Chiquita Heaney, Dratini, coyote
Josephina Collins IV, Kadabra, crab
Albert West I, Charmeleon, salmon
Floyd Zieme, Wartortle, yellowjacket
Mr. Maxwell Hodkiewicz, Vaporeon, alligator
Dale Sipes, Mankey, buffalo
Nicol Beatty, Kangaskhan, skunk
Rutha Runte III, Golbat, toad
Leatrice Reichert, Dratini, chimpanzee
Delmer Lubowitz, Poliwrath, baboon
Homer Lebsack, Kingler, bear
Ms. Harry Marquardt, Diglett, ferret
Eileen Kunde, Venusaur, serval
Ulrike Moen, Zubat, wildebeest
Tosha Skiles, Abra, mammoth
Dr. Marcene Willms, Machoke, turtle 
Mrs. Danuta Schuster, Ekans, goose
Merri White II, Machop, ox
Arron Rodriguez, Raichu, guinea pig
Shawn Volkman Sr., Ninetales, rabbit
Ezekiel Bradtke, Golem, mink
Loralee Dietrich, Electrode, shark
Darwin Leffler II, Fearow, antelope
Manda Emard, Wartortle, worm
Dario Kunze, Gloom, termite
Adrianna Larson, Machoke, sea lion
Michale Ledner, Butterfree, whale
Tonita Bailey, Vulpix, salmon
Mr. Walter Feest, Ponyta, lion
Mrs. Dwana Schneider, Rattata, fox
Cesar Mayer MD, Ninetales, mammoth
Augustine Wisozk, Aerodactyl, butterfly
Dr. Jessie Cartwright, Porygon, fish
Isabella Carter, Diglett, rhinoceros
Vesta Carter, Haunter, goose
Cassaundra Morissette, Growlithe, wombat
Ms. Nolan Buckridge, Snorlax, toad
Priscila Nolan, Mankey, mosquito
Jose Wisozk, Persian, jellyfish
Norman Zieme, Dratini, oyster
Carina Champlin, Snorlax, macaw
Domenic Kreiger, Kabutops, prairie dog
Oliva Jakubowski, Nidoqueen, alligator
Geri Bailey II, Tauros, pug
Dr. Mikel Mayert, Graveler, mole
Lore Wiegand, Hypno, bee
Dr. Laurice Metz, Tentacruel, jackal
Mr. Stanton Hand, Beedrill, badger
Cythia Schinner PhD, Kadabra, guinea pig
