Tijuana Hahn, Abra, horse
Antony Pollich, Bulbasaur, tiger
Cornelius Kilback Sr., Rhydon, zebra
Jettie Hilll, Butterfree, grasshopper
Mrs. Mathew Hermiston, Poliwrath, weasel
Samuel Dicki, Starmie, pig
Columbus Cronin, Ivysaur, grasshopper
Sharlene Rau, Vaporeon, ant
Jina Christiansen, Vileplume, louse
Toccara Gleason, Aerodactyl, elk
Noelle Lubowitz, Oddish, cat
Dr. Rueben Rath, Metapod, hippopotamus
Miss Caridad Schneider, Sandslash, macaw
Leonardo Stanton, Diglett, muskrat
Delphia Runolfsson, Nidoqueen, lizard
Dante Mohr, Golem, elephant
Wade MacGyver, Tauros, termite
Dayle Mohr, Scyther, alligator
Fred Osinski DVM, Pikachu, hippopotamus
Laurence Tillman, Nidorino, fox
Simon Dicki, Gloom, woodchuck
Mitchell Williamson, Farfetch'd, otter
Vern Stanton, Drowzee, antelope
Jefferey McClure, Arcanine, jackal
Willette Streich, Vileplume, chimpanzee
Jeremiah Ward, Rattata, kangaroo
Gordon Schneider, Primeape, tortoise
Pennie Grimes, Venonat, mallard
Roy Sanford, Articuno, llama
Gil Hagenes, Hypno, bear
Miss Ivan Becker, Hitmonlee, butterfly
Becky Schmidt, Machop, lion
Brigitte Price, Aerodactyl, shark
Nu Will, Staryu, eagle
Ms. Carole Mayer, Mew, coyote
Shon Towne III, Kingler, mallard
Kristeen Wolff, Dugtrio, muskrat
Arlinda Little, Tentacruel, jackal
Isis Lockman, Gengar, armadillo
Virgilio Quitzon, Clefairy, dinosaur
Vicente Pacocha, Vaporeon, donkey
Mrs. Zulema Adams, Caterpie, eagle
Genna Russel, Machoke, ape
Mrs. Naoma Beahan, Nidoran, ant
Dewayne Aufderhar, Machamp, lizard
Meryl Kunde, Pidgey, buffalo
Micki Effertz, Machamp, goldfish
Donald Harber, Nidoran, turtle 
Erasmo Altenwerth DVM, Charmeleon, butterfly
Andy Bednar, Pinsir, dinosaur
