Darin Jones, Hypno, wombat
Flor Zulauf, Ditto, dinosaur
Esteban Jaskolski, Electrode, deer
Perla Quitzon, Dugtrio, dinosaur
Reuben Bernier, Koffing, ox
Berna Schultz, Golbat, giraffe
Mrs. Fritz Gerhold, Slowbro, kangaroo
Doug Walsh, Psyduck, swan
Everette Hills, Hitmonchan, yak
Bradley Ratke, Venonat, salmon
Donte Farrell, Arbok, fly
Van Price, Gengar, cod
Gaye Rohan, Omanyte, manatee
Rossie Harber Jr., Aerodactyl, mouse
Kathern Crona, Zubat, hamster
Treasa Ferry Jr., Kabutops, badger
Christie Baumbach, Bellsprout, swan
Dreama Rowe, Omastar, eel
Williams Balistreri, Farfetch'd, baboon
Larry Armstrong, Kingler, hyena
Mr. Ardelle Halvorson, Muk, zebra
Adela Koss, Mankey, crow
Margrett Friesen, Nidorina, wildebeest
Paris Zieme, Gloom, dolphin
Marcelo Gerlach MD, Raichu, mink
Norman Yundt DDS, Weedle, moose
Vernon Reynolds, Venonat, crow
Hazel Bednar Sr., Wartortle, macaw
Jason Orn, Omastar, impala
Mrs. Lorelei Olson, Gyarados, snail
Rosette Lueilwitz, Machop, buffalo
Basil Schiller, Clefairy, marten
Kathrine Schneider, Pidgeotto, rat
Rod Welch DDS, Cloyster, hedgehog
Ms. Lula Witting, Slowpoke, buffalo
Miss Santiago Predovic, Drowzee, sardine
Kaylene Bogan, Sandshrew, mallard
Allie Turcotte, Kadabra, rat
Caleb Rau, Magikarp, crocodile
Winfred Koch, Staryu, reindeer
Mr. Irene McKenzie, Pidgeot, eagle
Keith Schamberger, Vaporeon, bear
Thomasina Haley, Charmeleon, lion
Cherlyn Runolfsson PhD, Vulpix, mouse
Howard Heller, Vulpix, elephant
Roy Wolff, Snorlax, sheep
Mr. Ma Blanda, Lapras, bear
Dr. Randolph Lynch, Gloom, snail
Mitzie Considine, Kakuna, gorilla
Luci Volkman, Ninetales, serval
