Caleb Fay, Blastoise, locust
Sylvester Wunsch, Weedle, seal
Elaina White, Kakuna, rhinoceros
Emmanuel Reilly, Nidoqueen, otter
Dudley Halvorson, Charizard, skunk
Amira Smith, Wigglytuff, mule
Andy Kshlerin, Nidoran, ant
Gerald Bogan, Onix, lizard
Dillon Kirlin I, Kingler, ox
Mrs. Lorenza Moore, Dodrio, manatee
Jed Blick III, Golem, grasshopper
Wes Schimmel, Magnemite, pig
Tommy Gislason, Nidoran, pig
Raleigh Williamson MD, Exeggutor, weasel
Hobert Dibbert, Golbat, alligator
Matthew Boehm DDS, Kabutops, llama
Willodean Beahan, Blastoise, monkey
Cora Dickinson, Kabuto, alligator
Tyler Wiegand, Diglett, deer
Veola Quigley PhD, Dragonair, gnat
Eldon Bartoletti, Exeggutor, serval
Huey Cremin MD, Alakazam, termite
Ardell Gusikowski, Poliwhirl, wasp
Laurine Will, Hypno, chinchilla
Raelene Kuhlman IV, Voltorb, dog
Cecille Tillman, Exeggcute, fly
Sheryl Sporer PhD, Vaporeon, cat
Shawn Runolfsson, Tauros, hound
Mario Kub, Mewtwo, eel
Bob Schuster, Venusaur, porcupine
Rachael Bogan IV, Shellder, hornet
Miss Classie Bosco, Arbok, dolphin
Carmel Williamson, Grimer, hyena
Toney Donnelly, Electabuzz, gerbil
Chastity Steuber, Tentacruel, raven
Arvilla Gerhold, Marowak, cicada
Rod Predovic, Vulpix, bear
Joesph Herman, Muk, sardine
German Gusikowski, Sandshrew, herring
Jeremy Runolfsdottir, Ivysaur, bear
Vincenzo Williamson DDS, Slowbro, elk
Yasuko Rutherford, Magneton, bat
Dr. Nicolasa Ryan, Slowbro, marten
Stephane Ankunding, Clefable, porcupine
Mitch Gislason, Magikarp, hyena
Chana McKenzie, Abra, cheetah
Rufus Howe II, Machoke, wasp
Frederick Toy III, Kingler, hedgehog
Ms. Scottie D'Amore, Omanyte, mink
Eloy Frami, Bulbasaur, yak
