Porter Jenkins DDS, Electrode, jellyfish
Loria Abernathy I, Slowbro, tiger
Enoch Veum, Jynx, jackal
Hugh Stoltenberg, Magikarp, beetle
Theo Luettgen, Venomoth, woodchuck
Chloe Lubowitz, Vaporeon, jellyfish
Rob Carroll, Ditto, gorilla
Miss Rashad Macejkovic, Sandshrew, walrus
Gertie Collier, Magneton, deer
Sunday Crooks PhD, Charizard, cricket
Dong Reichel, Gengar, mule
Miss Anderson Towne, Jynx, alligator
Mi Hudson MD, Electrode, skunk
Howard Walter, Fearow, mole
Mckenzie Cruickshank, Graveler, pug
Rikki Jones, Arcanine, guinea pig
Micah Bartell II, Tentacruel, beetle
Annamae Fisher, Grimer, goose
Kelvin Reichert, Vileplume, pig
Leonel Ledner, Rhyhorn, caribou
Darin Dare, Parasect, eel
Tora Harris, Hitmonlee, grasshopper
Luther Langosh, Dugtrio, panda
Sang Moore, Growlithe, crow
Bruce Herman, Metapod, duck
Mrs. Tanya Turner, Diglett, leopard
Donny Fay, Victreebel, sea lion
Ms. Ralph Quitzon, Dodrio, squirrel
Donnell Abshire, Caterpie, turtle 
Rosa Smith, Dodrio, porcupine
Buford O'Keefe, Dragonite, eel
Moises Stroman, Oddish, ant
Ms. Carlos Lebsack, Haunter, deer
Alonzo Schroeder, Pidgey, turtle 
Paris Rodriguez, Cubone, swan
Marth Thiel, Dugtrio, swan
Jesenia Rau V, Ponyta, mule
Randy Huels DVM, Tentacool, hamster
Millie Torp Jr., Hypno, wolf
Sung Marquardt, Flareon, weasel
Shu Cremin, Muk, bear
Youlanda Balistreri, Articuno, whale
Aldo Cartwright, Haunter, turtle 
Tinisha Moen, Machoke, donkey
Barry Bosco, Pidgeot, kangaroo
Mrs. Marco Kunze, Tentacool, guinea pig
Cindie Schowalter, Parasect, duck
Tuan Mills, Muk, horse
Cyrus Renner, Venusaur, ox
Trang Rath, Rhydon, zebra
