Conrad Fadel, Machop, elk
Shane McDermott, Jynx, chinchilla
Boris Collins, Poliwag, cat
Jarvis Lind, Seadra, manatee
Kim Hermann, Magneton, raven
Elenora Hane, Mankey, water buffalo
Erin Rogahn PhD, Golbat, llama
Sanora Koepp, Mewtwo, seal
Mrs. Shona Ankunding, Eevee, salmon
Nedra Armstrong, Charmeleon, butterfly
Tayna Powlowski, Spearow, guinea pig
Nathan Metz, Venomoth, goose
Kevin Willms, Rapidash, yellowjacket
Mrs. Marhta Morar, Exeggutor, jackal
Ms. Irwin Donnelly, Machamp, fox
Marlys Christiansen DVM, Hitmonlee, shark
Otto Schmitt, Beedrill, gorilla
Elois Nitzsche III, Ditto, herring
Ines Littel, Squirtle, termite
Miss Edwardo Schinner, Charmander, otter
Federico Stoltenberg Jr., Ditto, macaw
Lauralee Hudson, Doduo, clam
Shawnta Heaney MD, Dragonite, gnu
Dayna Shanahan, Clefable, chimpanzee
Miss Tamica Flatley, Voltorb, fish
Farrah Vandervort, Koffing, platypus
Miss Conception Abernathy, Oddish, walrus
Eleanore Jacobi, Krabby, louse
Natosha Farrell, Seadra, lion
Arnulfo Barton, Jigglypuff, mule
Donald O'Keefe, Bulbasaur, donkey
Bettye Price, Gloom, yak
Ressie Bergnaum, Pidgey, otter
Kymberly Kling, Cubone, duck
Mohammed Hilll, Golem, kangaroo
Demetrius Boehm, Weepinbell, bee
Margit Shanahan, Diglett, chimpanzee
Latonia Kiehn, Onix, panda
Ms. Ruthann Rogahn, Meowth, cheetah
Mrs. America Hirthe, Poliwrath, skunk
Drucilla Torphy PhD, Golem, cheetah
Lillia McKenzie, Ivysaur, llama
Danita Flatley, Onix, snake
Hoyt Sawayn, Electabuzz, reindeer
Angila Predovic, Gloom, dolphin
Fidel Schoen, Tentacruel, porcupine
Jerome Heidenreich, Kabuto, caribou
Sung Jacobs V, Arbok, caribou
Brunilda Harber, Alakazam, beaver
Hoyt Schaden, Bulbasaur, mammoth
