Mrs. Alexis Gerhold, Arcanine, fish
Damian Spencer MD, Venomoth, muskrat
Anderson Gusikowski, Slowbro, camel
Denisha Jerde DDS, Kingler, wombat
Rodolfo Hilpert, Meowth, hyena
Broderick Ledner, Charmeleon, leopard
Sirena Weimann, Koffing, alpaca
Marcela Baumbach MD, Kabuto, chinchilla
Alton Maggio, Beedrill, shark
Caitlyn Breitenberg III, Dewgong, salmon
Lanny McLaughlin Jr., Zapdos, macaw
Pablo Bayer, Dewgong, alligator
Dr. Oscar Langosh, Pikachu, walrus
Celesta Stroman, Kabutops, macaw
Marvis Rath, Seel, seal
Jose Torp, Bellsprout, bee
Chad VonRueden Sr., Dragonite, chimpanzee
Antony Connelly II, Zapdos, goldfish
Treasa Veum, Koffing, fly
Laurene Rippin, Hitmonlee, impala
January Jones, Gyarados, raccoon
Seymour Lang, Electrode, yak
Dr. Paris Gutmann, Kingler, fish
Adriana Kirlin, Rhyhorn, eagle
Ophelia Terry, Drowzee, cattle
Sharie Gutmann MD, Gastly, horse
Ollie Harber III, Ivysaur, cockroach
Evie Hackett, Rattata, trout
Earleen Schowalter, Golduck, lizard
Dr. Luetta Kunde, Tangela, hare
Ms. Bev Huels, Poliwrath, louse
Raphael Murphy, Mr. Mime, chimpanzee
Melina Turner DDS, Persian, monkey
Micheal Cormier, Metapod, bat
Domingo Haley, Krabby, goat
Mr. Chia Bashirian, Raticate, lion
Domingo Mosciski Jr., Squirtle, wildebeest
Freeda Legros PhD, Starmie, hedgehog
Mr. Susy Goldner, Kabuto, chinchilla
Myles O'Conner, Electabuzz, alligator
Emelina Medhurst, Bulbasaur, gerbil
Cedric Hane, Kingler, dog
Mrs. Sana Abernathy, Pikachu, pig
Wilda Schroeder, Oddish, rhinoceros
Ms. Debbra West, Psyduck, crow
Doyle Beer I, Flareon, jellyfish
Mr. Nathanial McKenzie, Kingler, goat
Dallas Beatty, Kadabra, zebra
Genevie Lueilwitz, Tentacool, ferret
Frankie Sauer IV, Sandshrew, marten
