Todd Lind, Meowth, guinea pig
Viki Stokes, Fearow, herring
Dr. Ward Kohler, Gloom, deer
Landon Braun, Drowzee, porcupine
Neta Pfannerstill, Graveler, platypus
Julia Roberts DVM, Raticate, otter
Analisa Price, Lickitung, minnow
Jasper West, Jolteon, baboon
Bula Torphy, Raticate, yak
Carmel Boyer, Omastar, tortoise
Norbert Lubowitz, Farfetch'd, sardine
Wesley Schumm Sr., Squirtle, dolphin
Marco Pacocha, Jigglypuff, elephant
Korey VonRueden Sr., Omanyte, armadillo
Ardelia Marks, Rapidash, coyote
Krysten Jenkins, Jynx, mouse
Jenell Lind, Ninetales, salmon
Dr. Orlando Kub, Clefable, bear
Jerrold Zieme, Slowbro, beaver
August Smith, Lickitung, rat
Mariano Rolfson, Gyarados, panda
Claude Wuckert, Weedle, beetle
Maria Sipes PhD, Clefairy, serval
Mrs. Bernardine Gerhold, Rapidash, pug
Sherrill Raynor, Kangaskhan, koala
Ms. Willie Armstrong, Nidoran, wombat
Zelma Gerlach, Tauros, snail
Diedra Bogan Sr., Cloyster, prairie dog
Gustavo Grant DDS, Dratini, squirrel
Dee Schaden, Growlithe, kangaroo
Mr. Jessie Bruen, Sandslash, macaw
Felton Gerhold, Kingler, impala
Myrna Upton DVM, Hitmonlee, giraffe
Theola Gleason, Tentacruel, zebra
Belkis Emard, Voltorb, toad
Amee O'Conner V, Ekans, dog
Tobias Bogan, Machoke, cat
Donn Doyle, Primeape, wallaby
Wilmer Kozey, Rhyhorn, rabbit
Roderick Durgan III, Venonat, dinosaur
Sau Hessel, Charmeleon, oyster
Philip Schowalter, Seadra, dinosaur
Trent Bailey, Kangaskhan, reindeer
Rico Lind, Growlithe, gorilla
Dr. Ellamae Simonis, Tentacool, sheep
Danial Orn, Golduck, mole
Mira Bednar, Kadabra, antelope
Rickie Rosenbaum, Dragonite, hedgehog
Carlene Frami, Machamp, yak
Ms. Carolee Williamson, Bulbasaur, seal
