Celia Ryan, Charmander, water buffalo
Todd Cummerata, Raichu, hornet
Miss King Satterfield, Bellsprout, snail
Gladys Corkery, Diglett, cicada
Ms. Shane Bahringer, Slowpoke, rat
Doyle Baumbach, Ninetales, shark
Adriene Pacocha, Tentacruel, crab
Lucy Zboncak, Vileplume, eagle
Jason Mayer, Staryu, porpoise
Caryl Schiller, Clefairy, cockroach
Fausto Hyatt, Seadra, rat
Dirk Wilderman, Pidgey, mallard
Felicita Glover, Charmeleon, porpoise
Danyel Greenfelder, Pidgey, sardine
Davis Wisoky DVM, Aerodactyl, mule
Nanette Crist, Rapidash, whale
Dr. Fred Murazik, Charmeleon, tiger
Cyril Fadel DDS, Goldeen, alpaca
June Krajcik, Doduo, fox
Lynsey Brekke, Tangela, eagle
Ms. Mee Zboncak, Ponyta, pug
Harvey Stoltenberg, Weezing, weasel
Leslie Jaskolski III, Gyarados, snake
Lyman Davis, Mr. Mime, elk
Tynisha Heathcote, Marowak, muskrat
Miss Arielle Jacobs, Goldeen, fox
Ms. Nona Hackett, Hypno, moose
Alan Pfannerstill Sr., Moltres, spider
Ian Reynolds, Nidoking, hippopotamus
Maisie Mayer, Eevee, cod
Carole Boyle, Oddish, coyote
Dr. Humberto Shanahan, Nidorina, wasp
Alexandria Rohan, Haunter, serval
Patrick Kassulke, Tangela, rhinoceros
Rochelle Bradtke, Seel, gnu
Ying Lindgren, Arbok, cockroach
Ulrike Williamson, Rhyhorn, otter
Karolyn Lockman II, Tangela, mouse
Honey Jast, Staryu, caribou
Dr. Scottie King, Kangaskhan, eel
Ollie Fadel, Vaporeon, tiger
Stuart Schroeder, Omanyte, elephant
Erich Gerlach, Dragonair, cattle
Mrs. Erik Abshire, Graveler, coyote
Abe D'Amore, Ditto, gorilla
Willard Heller, Grimer, antelope
Shantelle Becker, Butterfree, hedgehog
Minh Metz, Kabutops, serval
Rene Lubowitz, Tentacruel, hyena
Bobette Baumbach, Machoke, ant
