Mrs. Geraldo Parisian, Diglett, trout
Dannie Kiehn, Persian, koala
Eldridge Swift, Caterpie, buffalo
Cletus Kuhlman, Ivysaur, mammoth
Felisha Runte, Tentacruel, fish
Buddy Witting, Ekans, elk
Mr. Vance Gutmann, Gengar, bee
Joey Borer MD, Mewtwo, goose
Agatha O'Connell DVM, Venomoth, mosquito
Cameron Herman, Haunter, salmon
Elissa Reilly, Mr. Mime, yellowjacket
Ike Berge, Tentacruel, walrus
Linwood Rosenbaum, Arbok, yellowjacket
Myrle Legros, Tentacruel, llama
Erlinda O'Connell, Marowak, crocodile
Mr. Orville Ortiz, Exeggutor, salmon
Luanne Kutch Jr., Machoke, raven
Jeremy Satterfield, Charmeleon, toad
Debbie Stehr, Haunter, cattle
Dacia Gaylord, Onix, squirrel
Mr. Naomi Marks, Venusaur, dog
Fletcher Mraz, Farfetch'd, hedgehog
Timothy Crooks, Nidoran, impala
Gregorio Hodkiewicz DVM, Kadabra, jellyfish
Deloris Jacobson, Dodrio, oyster
Minna O'Hara, Lapras, dolphin
Columbus Cummings, Exeggutor, salmon
Stan Conroy, Aerodactyl, macaw
Alisha Rowe DVM, Cubone, reindeer
Will Morissette, Jolteon, cricket
Xenia Johnston, Squirtle, giraffe
Nedra Schuster, Butterfree, raven
Ross Russel, Scyther, scorpion
Micheal Gleason II, Nidoqueen, frog
Bettie Corwin, Jynx, mallard
Ema Hodkiewicz, Oddish, shark
Karla Marquardt, Nidorino, bat
Enoch Willms, Seadra, guinea pig
Mrs. Alesia Bechtelar, Caterpie, hare
Mrs. Joseph Schuster, Wigglytuff, cricket
Courtney Connelly I, Charizard, hare
Simon Kuphal, Weezing, fly
Madge Champlin, Machop, mole
Ellis Stracke, Venusaur, mosquito
Ms. Claude Kozey, Haunter, badger
Sharan Berge, Koffing, raccoon
Corrine Goodwin, Chansey, mosquito
Ms. Franklyn Borer, Jigglypuff, mink
Dr. Brad Hirthe, Paras, otter
Mrs. Louise Grady, Farfetch'd, squirrel
