Jacqulyn Rogahn MD, Krabby, lizard
Estell Roberts IV, Rapidash, sea lion
Harland Price, Nidorina, dog
Lyle Tillman, Lapras, mule
Soraya Bashirian, Abra, gerbil
Ariana Krajcik, Electabuzz, frog
Alicia Stokes, Snorlax, jellyfish
Colleen Schmitt, Dodrio, pug
Jospeh Lynch, Rapidash, pug
Opal Brekke II, Rhydon, fish
Melvin Paucek, Gyarados, caribou
Boris O'Hara, Scyther, minnow
Lacy Dickinson V, Zubat, mosquito
Mrs. Felix King, Kadabra, lion
Donte Quitzon, Raichu, serval
Stefani Mosciski, Poliwag, llama
Fred Dietrich MD, Zapdos, cheetah
Levi Cummerata, Koffing, seal
Minh VonRueden, Marowak, armadillo
Marilou Kling, Weedle, ox
Israel Emmerich, Krabby, gorilla
Jodie Mueller, Rapidash, scorpion
Lindsy Ritchie, Vaporeon, crow
Franklin Batz, Poliwhirl, camel
Tad O'Connell, Magikarp, weasel
Abby Barrows, Venonat, rhinoceros
Jacques Mosciski, Mew, wombat
Alia Sporer, Butterfree, otter
Mr. Damion Gaylord, Raichu, worm
Leonard Bauch, Nidoran, hippopotamus
Roxy Bergnaum, Tangela, yellowjacket
Domingo Schaden DDS, Seadra, panda
Heath Baumbach, Tauros, gnu
Tracy Rutherford, Charmander, donkey
Jae Terry, Bellsprout, pug
Cory Homenick I, Primeape, lion
Hong Denesik, Pinsir, minnow
Shyla Olson, Graveler, guinea pig
Jared Macejkovic, Pinsir, minnow
Matt Larkin, Clefable, oyster
Kenneth White, Staryu, butterfly
Sasha Ankunding DDS, Hitmonlee, elephant
Jacinta Beahan, Snorlax, turtle 
Ms. Kenton Beer, Venusaur, porpoise
Wally Gleason, Nidoking, goose
Lyman Kuhic, Beedrill, ferret
Omar Daniel, Squirtle, raccoon
Vanesa Corwin, Cloyster, prairie dog
Rickey Stracke, Rhyhorn, hamster
Miss Cyril Weber, Flareon, dolphin
