Mrs. Mickey Wilderman, Vulpix, guinea pig
Dr. Fred Johnson, Cloyster, minnow
Maxwell Haag, Gastly, chimpanzee
Dinah Effertz, Shellder, mouse
Delfina Harris, Ponyta, ox
Candra Rempel PhD, Cloyster, dog
Ernie Sipes, Omanyte, sea lion
Gilbert Doyle, Machamp, wombat
Mr. Lacy Koch, Beedrill, rabbit
Logan Herzog, Articuno, giraffe
Harmony Moore, Paras, cod
Hector Gaylord, Dewgong, gerbil
Caroline Jacobson, Gloom, porpoise
Tanesha Powlowski, Haunter, guinea pig
Ms. Verlie Keeling, Venomoth, marten
Kisha White, Venomoth, swan
Evelina Goldner, Dodrio, caribou
Shavonne Murazik, Kadabra, louse
Miss Yun Terry, Ditto, rhinoceros
Ms. Sydney Kuphal, Ekans, mosquito
Tracy Franecki, Magnemite, giraffe
Henry Hoppe, Machoke, yellowjacket
Mr. Lourie Trantow, Nidorina, fish
Dee Klein, Kangaskhan, prairie dog
Mrs. Ty Rempel, Gastly, mallard
George Haag, Pinsir, jellyfish
Marya Wolf, Spearow, goose
Roxane Daugherty, Charizard, bat
Charlie Watsica II, Seel, manatee
Louie Koelpin, Venonat, serval
Denese Hettinger, Clefairy, hyena
Mr. Parker Mohr, Aerodactyl, gerbil
Wade Rohan, Voltorb, wasp
Adeline Wisoky, Snorlax, dolphin
Mr. Shonta Klein, Abra, zebra
Myriam Langosh, Kingler, wasp
Dr. Debera Grady, Articuno, salmon
Landon Koss, Marowak, porpoise
Antione Hettinger, Fearow, pig
Mica Brakus, Kadabra, ox
Malisa Hills, Snorlax, locust
Brent Wisozk, Haunter, kangaroo
Brady Hintz, Butterfree, whale
Jeremy Ruecker, Nidoran, termite
Toney Terry, Rapidash, crab
Troy Reichel, Ditto, alpaca
Arnoldo Balistreri, Poliwag, beetle
Mr. Freddy Nitzsche, Doduo, raven
Santos O'Conner, Vulpix, cockroach
Latrisha Cormier, Grimer, baboon
