Jacqulyn Turcotte, Omastar, reindeer
Christen Feest, Poliwag, manatee
Frederica Morissette DDS, Goldeen, donkey
Dayle Von, Snorlax, wallaby
Jamison Hickle, Machop, eagle
Leonardo Shields, Arbok, herring
Leland Wehner, Nidorino, hyena
Denae Leannon, Lapras, llama
Ms. Kyle Tromp, Pidgeotto, wombat
Noella Johnson, Vulpix, swan
Ms. Ollie Rohan, Nidorino, beaver
Kristal Howell II, Machoke, clam
Mrs. Kam Luettgen, Arcanine, whale
Humberto Kutch, Drowzee, badger
Danita Kozey, Gyarados, ferret
Bunny Kovacek, Arcanine, porcupine
Ms. Trevor Bartoletti, Persian, eel
Ms. Lasandra Orn, Dragonair, mink
Jayne Harvey, Ivysaur, elephant
Ms. Janie Walsh, Golduck, deer
Lewis Daniel, Tentacruel, clam
Dudley McDermott, Slowbro, squirrel
Dale Cronin, Omanyte, whale
Ahmed Sanford, Raichu, shark
Mrs. Duane Schmeler, Lapras, swan
Rudolph Ritchie, Fearow, hyena
Maryjane Harvey, Weedle, chimpanzee
Nicky Bernier, Squirtle, eel
Dr. Tommye Bradtke, Ponyta, pug
Terrence Rice, Articuno, yellowjacket
Reynalda Stracke, Jigglypuff, ox
Lettie Kub, Raichu, tiger
Jonathon Bayer, Machoke, chinchilla
Jaye Ferry, Electabuzz, termite
Kitty Gusikowski, Chansey, panda
Terisa Herzog, Rhydon, worm
Classie Gulgowski, Dugtrio, fish
Dr. Shaunda Ebert, Vulpix, camel
Michael Aufderhar, Voltorb, mule
Kortney Green, Haunter, trout
Kristopher Yost MD, Magikarp, goldfish
Darnell Feeney, Muk, ferret
Waldo Swift, Kabuto, coyote
Bruno Gerhold, Nidoqueen, mammoth
Wilbert Fahey, Charmeleon, porcupine
Lavinia Leuschke II, Nidoqueen, eel
Kesha Wolff Sr., Sandslash, cod
Mr. Buster Schroeder, Paras, water buffalo
Dick Fisher, Vaporeon, grasshopper
Josiah Kris Jr., Vulpix, koala
