Kellee Kutch PhD, Psyduck, fish
Brain Romaguera, Poliwhirl, swan
Suzanne Jacobi II, Flareon, elephant
Keven Jaskolski PhD, Hypno, wombat
Jacqulyn Lynch, Gyarados, antelope
Nicholas Dooley, Porygon, swan
Johnny Schinner, Charmeleon, muskrat
Kevin DuBuque, Seadra, ferret
Alise Volkman, Koffing, rat
Lauryn Beier, Geodude, hippopotamus
Carson Reilly, Articuno, pig
Hong Lowe, Machoke, toad
Ligia Wolf, Clefairy, butterfly
Mora Roob, Tentacool, bear
Miss Kesha Nicolas, Tangela, minnow
Jerri Kuhn Jr., Doduo, pig
Timmy Vandervort, Meowth, yellowjacket
Dr. Dallas Hegmann, Kingler, duck
Tama Dare, Dragonair, monkey
Miss Nathan Renner, Charmander, tiger
Benjamin Cummings, Parasect, monkey
Tuan Hintz, Golem, elephant
Edgar Witting, Magmar, gorilla
Wilson Rutherford, Lickitung, koala
Kevin Treutel, Tentacruel, kangaroo
Despina Jacobs, Jigglypuff, snake
Dr. Jean Braun, Flareon, wasp
Ernesto O'Conner, Dewgong, wombat
Ashanti O'Hara, Mankey, camel
Randolph Herzog, Zapdos, macaw
Ms. Nicolasa Von, Paras, baboon
Sang Nolan III, Beedrill, tiger
Tajuana Pollich, Arcanine, crab
Dee Schaefer, Parasect, manatee
Tammara Muller, Slowbro, elk
Miss Rory Treutel, Poliwag, swan
Del Witting, Dodrio, hare
Normand Torp, Gloom, shark
Ms. Tula Ratke, Graveler, woodchuck
Caroll Kovacek, Machoke, giraffe
Lee Mayer I, Snorlax, raven
Porter Hansen, Lickitung, tortoise
Van Rice DVM, Seel, mammoth
Elton Runolfsdottir, Meowth, minnow
Terra Kunze Jr., Voltorb, coyote
Kenia Stracke DVM, Magneton, seal
Shayne Kilback, Mewtwo, hyena
Twana Upton, Magikarp, clam
Gene Mann I, Starmie, hedgehog
Mr. Kurtis Wolff, Arcanine, yak
